"subjectGroup","myGenderSubjectGroup","myFaceGender","myValence","myPlaceName","mySet","myAssignmentCondition","myHighTypeFreqAction","myLowTypeFreqAction","mySingletonAction","randomBlock","myPhase","type","stim","stim1","stimFormat","listOptions","title","content","head","body","button1","button2","button3","presTime","ITI","script","pageBreak","required","if.","then","feedback","myQueriedAction","myQueriedActionStatus","responseType","responseRows","responseOptions","mySD3subScale","mySD3itemID","mySD3reversed"
1,1,"female","bad","Newdale",4,1,"avoidFare","pillageCorn","packageTheft","4","experiment","form",,,,,,,"<h1>Noah in Newdale</h1>",,,,,,,,1,1,,,,"avoidFare","highTypeFreq","radio","How likely are people in Newdale to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>","Not at all;Not really;Somewhat;Very Much so",,,
1,1,"female","bad","Newdale",4,1,"avoidFare","pillageCorn","packageTheft","4","experiment","form",,,,,,,"<h1>Noah in Newdale</h1>",,,,,,,,1,1,,,,"pillageCorn","lowTypeFreq","radio","How likely are people in Newdale to <b>pillage corn from a field?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>","Not at all;Not really;Somewhat;Very Much so",,,
1,1,"female","bad","Newdale",4,1,"avoidFare","pillageCorn","packageTheft","4","experiment","form",,,,,,,"<h1>Noah in Newdale</h1>",,,,,,,,1,1,,,,"packageTheft","single","radio","How likely are people in Newdale to <b>steal packages from a doorstep?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>","Not at all;Not really;Somewhat;Very Much so",,,
3,1,"male","good","Windon",1,1,"moneyCharity","offerSeat","saveBird","5","experiment","learn","","<p style='text-align:left;width:900px;'><font color='red'>Noah will now visit a new city.</font><br><br>You will now read about Noah's visit in Windon.</p>","word","",,,,,,,,4500,500,"%day%=0",,,,,,,,,,,,,
3,1,"male","good","Windon",1,1,"moneyCharity","offerSeat","saveBird","5","experiment","learn","male_good_set1_cond1_Windon_list1_moneyCharity_offerSeat_saveBird","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
3,1,"male","good","Windon",1,1,"moneyCharity","offerSeat","saveBird","5","experiment","learn","male_good_set1_cond1_Windon_list2_moneyCharity_offerSeat_saveBird","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
3,1,"male","good","Windon",1,1,"moneyCharity","offerSeat","saveBird","5","experiment","form",,,,,,,"<h1>Noah in Windon</h1>",,,,,,,,1,1,,,,"moneyCharity","highTypeFreq","radio","How likely are people in Windon to <b>donate to children's charities?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>","Not at all;Not really;Somewhat;Very Much so",,,
3,1,"male","good","Windon",1,1,"moneyCharity","offerSeat","saveBird","5","experiment","form",,,,,,,"<h1>Noah in Windon</h1>",,,,,,,,1,1,,,,"offerSeat","lowTypeFreq","radio","How likely are people in Windon to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>","Not at all;Not really;Somewhat;Very Much so",,,
3,1,"male","good","Windon",1,1,"moneyCharity","offerSeat","saveBird","5","experiment","form",,,,,,,"<h1>Noah in Windon</h1>",,,,,,,,1,1,,,,"saveBird","single","radio","How likely are people in Windon to <b>save baby birds?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>save baby birds?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>save baby birds?</b>","Not at all;Not really;Somewhat;Very Much so",,,
3,1,"male","good","Pastel",2,1,"buyCoffee","trippedChild","shareFruit","6","experiment","learn","","<p style='text-align:left;width:900px;'><font color='red'>Noah will now visit a new city.</font><br><br>You will now read about Noah's visit in Pastel.</p>","word","",,,,,,,,4500,500,"%day%=0",,,,,,,,,,,,,
3,1,"male","good","Pastel",2,1,"buyCoffee","trippedChild","shareFruit","6","experiment","learn","male_good_set2_cond1_Pastel_list1_buyCoffee_trippedChild_shareFruit","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
3,1,"male","good","Pastel",2,1,"buyCoffee","trippedChild","shareFruit","6","experiment","learn","male_good_set2_cond1_Pastel_list2_buyCoffee_trippedChild_shareFruit","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
3,1,"male","good","Pastel",2,1,"buyCoffee","trippedChild","shareFruit","6","experiment","form",,,,,,,"<h1>Noah in Pastel</h1>",,,,,,,,1,1,,,,"buyCoffee","highTypeFreq","radio","How likely are people in Pastel to <b>buy coffee for their colleagues?</b>;Would <i><b>people in Pastel</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>","Not at all;Not really;Somewhat;Very Much so",,,
3,1,"male","good","Pastel",2,1,"buyCoffee","trippedChild","shareFruit","6","experiment","form",,,,,,,"<h1>Noah in Pastel</h1>",,,,,,,,1,1,,,,"trippedChild","lowTypeFreq","radio","How likely are people in Pastel to <b>block streets to allow children to cross them?</b>;Would <i><b>people in Pastel</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>","Not at all;Not really;Somewhat;Very Much so",,,
3,1,"male","good","Pastel",2,1,"buyCoffee","trippedChild","shareFruit","6","experiment","form",,,,,,,"<h1>Noah in Pastel</h1>",,,,,,,,1,1,,,,"shareFruit","single","radio","How likely are people in Pastel to <b>invite other families to share fruit?</b>;Would <i><b>people in Pastel</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>","Not at all;Not really;Somewhat;Very Much so",,,
3,1,"female","good","Orkfield",3,1,"holdDoor","returnWallet","heavyGroceries","7","experiment","learn","","<p style='text-align:left;width:900px;'><font color='red'>Noah will now visit a new city.</font><br><br>You will now read about Noah's visit in Orkfield.</p>","word","",,,,,,,,4500,500,"%day%=0",,,,,,,,,,,,,
3,1,"female","good","Orkfield",3,1,"holdDoor","returnWallet","heavyGroceries","7","experiment","learn","female_good_set3_cond1_Orkfield_list1_holdDoor_returnWallet_heavyGroceries","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
3,1,"female","good","Orkfield",3,1,"holdDoor","returnWallet","heavyGroceries","7","experiment","learn","female_good_set3_cond1_Orkfield_list2_holdDoor_returnWallet_heavyGroceries","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
3,1,"female","good","Orkfield",3,1,"holdDoor","returnWallet","heavyGroceries","7","experiment","form",,,,,,,"<h1>Noah in Orkfield</h1>",,,,,,,,1,1,,,,"holdDoor","highTypeFreq","radio","How likely are people in Orkfield to <b>hold elevator doors for others?</b>;Would <i><b>people in Orkfield</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>","Not at all;Not really;Somewhat;Very Much so",,,
3,1,"female","good","Orkfield",3,1,"holdDoor","returnWallet","heavyGroceries","7","experiment","form",,,,,,,"<h1>Noah in Orkfield</h1>",,,,,,,,1,1,,,,"returnWallet","lowTypeFreq","radio","How likely are people in Orkfield to <b>return wallets?</b>;Would <i><b>people in Orkfield</b></i> consider it morally acceptable to <b>return wallets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>return wallets?</b>","Not at all;Not really;Somewhat;Very Much so",,,
3,1,"female","good","Orkfield",3,1,"holdDoor","returnWallet","heavyGroceries","7","experiment","form",,,,,,,"<h1>Noah in Orkfield</h1>",,,,,,,,1,1,,,,"heavyGroceries","single","radio","How likely are people in Orkfield to <b>help elderly carry heavy groceries?</b>;Would <i><b>people in Orkfield</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>","Not at all;Not really;Somewhat;Very Much so",,,
3,1,"female","good","Gralens",4,1,"helpElderly","largeTip","lostDirections","8","experiment","learn","","<p style='text-align:left;width:900px;'><font color='red'>Noah will now visit a new city.</font><br><br>You will now read about Noah's visit in Gralens.</p>","word","",,,,,,,,4500,500,"%day%=0",,,,,,,,,,,,,
3,1,"female","good","Gralens",4,1,"helpElderly","largeTip","lostDirections","8","experiment","learn","female_good_set4_cond1_Gralens_list1_helpElderly_largeTip_lostDirections","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
3,1,"female","good","Gralens",4,1,"helpElderly","largeTip","lostDirections","8","experiment","learn","female_good_set4_cond1_Gralens_list2_helpElderly_largeTip_lostDirections","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
3,1,"female","good","Gralens",4,1,"helpElderly","largeTip","lostDirections","8","experiment","form",,,,,,,"<h1>Noah in Gralens</h1>",,,,,,,,1,1,,,,"helpElderly","highTypeFreq","radio","How likely are people in Gralens to <b>help the elderly cross a road?</b>;Would <i><b>people in Gralens</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>","Not at all;Not really;Somewhat;Very Much so",,,
3,1,"female","good","Gralens",4,1,"helpElderly","largeTip","lostDirections","8","experiment","form",,,,,,,"<h1>Noah in Gralens</h1>",,,,,,,,1,1,,,,"largeTip","lowTypeFreq","radio","How likely are people in Gralens to <b>leave a generous tip to the server?</b>;Would <i><b>people in Gralens</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>","Not at all;Not really;Somewhat;Very Much so",,,
3,1,"female","good","Gralens",4,1,"helpElderly","largeTip","lostDirections","8","experiment","form",,,,,,,"<h1>Noah in Gralens</h1>",,,,,,,,1,1,,,,"lostDirections","single","radio","How likely are people in Gralens to <b>give directions?</b>;Would <i><b>people in Gralens</b></i> consider it morally acceptable to <b>give directions?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>give directions?</b>","Not at all;Not really;Somewhat;Very Much so",,,
5,1,"male","neutral","Caco",1,1,"doingAcrobatics","walkingCat","runCars","9","experiment","learn","","<p style='text-align:left;width:900px;'><font color='red'>Noah will now visit a new city.</font><br><br>You will now read about Noah's visit in Caco.</p>","word","",,,,,,,,4500,500,"%day%=0",,,,,,,,,,,,,
5,1,"male","neutral","Caco",1,1,"doingAcrobatics","walkingCat","runCars","9","experiment","learn","male_neutral_set1_cond1_Caco_list1_doingAcrobatics_walkingCat_runCars","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
5,1,"male","neutral","Caco",1,1,"doingAcrobatics","walkingCat","runCars","9","experiment","learn","male_neutral_set1_cond1_Caco_list2_doingAcrobatics_walkingCat_runCars","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
5,1,"male","neutral","Caco",1,1,"doingAcrobatics","walkingCat","runCars","9","experiment","form",,,,,,,"<h1>Noah in Caco</h1>",,,,,,,,1,1,,,,"doingAcrobatics","highTypeFreq","radio","How likely are people in Caco to <b>do kurafi?</b>;Would <i><b>people in Caco</b></i> consider it morally acceptable to <b>do kurafi?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>do kurafi?</b>","Not at all;Not really;Somewhat;Very Much so",,,
5,1,"male","neutral","Caco",1,1,"doingAcrobatics","walkingCat","runCars","9","experiment","form",,,,,,,"<h1>Noah in Caco</h1>",,,,,,,,1,1,,,,"walkingCat","lowTypeFreq","radio","How likely are people in Caco to <b>walk their pet cats on the street?</b>;Would <i><b>people in Caco</b></i> consider it morally acceptable to <b>walk their pet cats on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk pet cats on the street?</b>","Not at all;Not really;Somewhat;Very Much so",,,
5,1,"male","neutral","Caco",1,1,"doingAcrobatics","walkingCat","runCars","9","experiment","form",,,,,,,"<h1>Noah in Caco</h1>",,,,,,,,1,1,,,,"runCars","single","radio","How likely are people in Caco to <b>run alongside cars?</b>;Would <i><b>people in Caco</b></i> consider it morally acceptable to <b>run alongside cars?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>run alongside cars?</b>","Not at all;Not really;Somewhat;Very Much so",,,
5,1,"male","neutral","Qrosa",2,1,"dressedMascot","Pantomime","workBike","10","experiment","learn","","<p style='text-align:left;width:900px;'><font color='red'>Noah will now visit a new city.</font><br><br>You will now read about Noah's visit in Qrosa.</p>","word","",,,,,,,,4500,500,"%day%=0",,,,,,,,,,,,,
5,1,"male","neutral","Qrosa",2,1,"dressedMascot","Pantomime","workBike","10","experiment","learn","male_neutral_set2_cond1_Qrosa_list1_dressedMascot_Pantomime_workBike","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
5,1,"male","neutral","Qrosa",2,1,"dressedMascot","Pantomime","workBike","10","experiment","learn","male_neutral_set2_cond1_Qrosa_list2_dressedMascot_Pantomime_workBike","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
5,1,"male","neutral","Qrosa",2,1,"dressedMascot","Pantomime","workBike","10","experiment","form",,,,,,,"<h1>Noah in Qrosa</h1>",,,,,,,,1,1,,,,"dressedMascot","highTypeFreq","radio","How likely are people in Qrosa to <b>dress as a mascot?</b>;Would <i><b>people in Qrosa</b></i> consider it morally acceptable to <b>dress as a mascot?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>dress as a mascot?</b>","Not at all;Not really;Somewhat;Very Much so",,,
5,1,"male","neutral","Qrosa",2,1,"dressedMascot","Pantomime","workBike","10","experiment","form",,,,,,,"<h1>Noah in Qrosa</h1>",,,,,,,,1,1,,,,"Pantomime","lowTypeFreq","radio","How likely are people in Qrosa to <b>pantomime?</b>;Would <i><b>people in Qrosa</b></i> consider it morally acceptable to <b>pantomime?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pantomime?</b>","Not at all;Not really;Somewhat;Very Much so",,,
5,1,"male","neutral","Qrosa",2,1,"dressedMascot","Pantomime","workBike","10","experiment","form",,,,,,,"<h1>Noah in Qrosa</h1>",,,,,,,,1,1,,,,"workBike","single","radio","How likely are people in Qrosa to <b>bike to work?</b>;Would <i><b>people in Qrosa</b></i> consider it morally acceptable to <b>bike to work?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>bike to work?</b>","Not at all;Not really;Somewhat;Very Much so",,,
5,1,"female","neutral","Phando",3,1,"barefootPark","eatingBroccoli","drinkWine","11","experiment","learn","","<p style='text-align:left;width:900px;'><font color='red'>Noah will now visit a new city.</font><br><br>You will now read about Noah's visit in Phando.</p>","word","",,,,,,,,4500,500,"%day%=0",,,,,,,,,,,,,
5,1,"female","neutral","Phando",3,1,"barefootPark","eatingBroccoli","drinkWine","11","experiment","learn","female_neutral_set3_cond1_Phando_list1_barefootPark_eatingBroccoli_drinkWine","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
5,1,"female","neutral","Phando",3,1,"barefootPark","eatingBroccoli","drinkWine","11","experiment","learn","female_neutral_set3_cond1_Phando_list2_barefootPark_eatingBroccoli_drinkWine","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
5,1,"female","neutral","Phando",3,1,"barefootPark","eatingBroccoli","drinkWine","11","experiment","form",,,,,,,"<h1>Noah in Phando</h1>",,,,,,,,1,1,,,,"barefootPark","highTypeFreq","radio","How likely are people in Phando to <b>walk barefoot on the street?</b>;Would <i><b>people in Phando</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>","Not at all;Not really;Somewhat;Very Much so",,,
5,1,"female","neutral","Phando",3,1,"barefootPark","eatingBroccoli","drinkWine","11","experiment","form",,,,,,,"<h1>Noah in Phando</h1>",,,,,,,,1,1,,,,"eatingBroccoli","lowTypeFreq","radio","How likely are people in Phando to <b>eat raw broccoli?</b>;Would <i><b>people in Phando</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>","Not at all;Not really;Somewhat;Very Much so",,,
5,1,"female","neutral","Phando",3,1,"barefootPark","eatingBroccoli","drinkWine","11","experiment","form",,,,,,,"<h1>Noah in Phando</h1>",,,,,,,,1,1,,,,"drinkWine","single","radio","How likely are people in Phando to <b>drink wine?</b>;Would <i><b>people in Phando</b></i> consider it morally acceptable to <b>drink wine?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>drink wine?</b>","Not at all;Not really;Somewhat;Very Much so",,,
5,1,"female","neutral","Pirsea",4,1,"pickingNose","walkSwimsuit","wearSunglasses","12","experiment","learn","","<p style='text-align:left;width:900px;'><font color='red'>Noah will now visit a new city.</font><br><br>You will now read about Noah's visit in Pirsea.</p>","word","",,,,,,,,4500,500,"%day%=0",,,,,,,,,,,,,
5,1,"female","neutral","Pirsea",4,1,"pickingNose","walkSwimsuit","wearSunglasses","12","experiment","learn","female_neutral_set4_cond1_Pirsea_list1_pickingNose_walkSwimsuit_wearSunglasses","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
5,1,"female","neutral","Pirsea",4,1,"pickingNose","walkSwimsuit","wearSunglasses","12","experiment","learn","female_neutral_set4_cond1_Pirsea_list2_pickingNose_walkSwimsuit_wearSunglasses","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
5,1,"female","neutral","Pirsea",4,1,"pickingNose","walkSwimsuit","wearSunglasses","12","experiment","form",,,,,,,"<h1>Noah in Pirsea</h1>",,,,,,,,1,1,,,,"pickingNose","highTypeFreq","radio","How likely are people in Pirsea to <b>pick their nose?</b>;Would <i><b>people in Pirsea</b></i> consider it morally acceptable to <b>pick their nose?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pick your nose?</b>","Not at all;Not really;Somewhat;Very Much so",,,
