valence	set	numberWithinSet	placeName	actionName	observation	prevalenceQuestion	acceptabilityQuestionThirdParty	acceptabilityQuestionFirstParty
good	tbd	tbd	Vali	saveBird	Noah passed through the main square and saw this person run to save a baby bird from being run over by a car.	save baby birds?	save baby birds?	save baby birds?
good	tbd	tbd	Styl	offerSeat	Noah used the bus and saw this person offer their seat to a pregnant person.	offer their seat to pregnant people?	offer their seat to pregnant people?	offer their seat to pregnant people?
good	tbd	tbd	Pastel	buyCoffee	Noah visited the local cafe and saw this person buying coffee for their workplace colleagues.	buy coffee for their colleagues?	buy coffee for their colleagues?	buy coffee for their colleagues?
good	tbd	tbd	Tiare	shareFruit	Noah passed through a park and saw this person at the playground invite other families to share fruit.	invite other families to share fruit?	invite other families to share fruit?	invite other families to share fruit?
good	tbd	tbd	Windon	moneyCharity	Noah saw this person putting money in a bucket for a children's charity at the train station.	donate to children's charities?	donate to children's charities?	donate to children's charities?
good	tbd	tbd	Orkfield	holdDoor	Noah saw this person hold the elevator door open for people rushing to get the elevator.	hold elevator doors for others?	hold elevator doors for others?	hold elevator doors for others?
good	tbd	tbd	Isondiff	largeTip	Noah saw this person at the restaurant leave a generous tip to the server.	leave a generous tip to the server?	leave a generous tip to the server?	leave a generous tip to the server?
good	tbd	tbd	Clego	heavyGroceries	Noah saw this person stop reading in a cafe to help an elderly person carry heavy groceries to the bus stop.	help elderly carry heavy groceries?	help elderly carry heavy groceries?	help elderly carry heavy groceries?
good	tbd	tbd	Hifvine	trippedChild	Noah saw this person block the cars so a child could cross the street more safely.	block streets to allow children to cross them?	block streets to allow children to cross them?	block streets to allow children to cross them?
neutral	tbd	tbd	Qrita	wearSunglasses	Noah saw this person at the bus stop wearing sunglasses.	wear sunglasses?	wear sunglasses?	wear sunglasses?
neutral	tbd	tbd	Krark	walkSwimsuit	Noah went to the harbor and saw this person walking with their swimsuit on the street.	wear swimsuits on the streets?	wear swimsuits on the streets?	wear swimsuits on the streets?
neutral	tbd	tbd	Caco	doingAcrobatics	Noah was passing through the park and saw this person doing kurafi.	do kurafi?	do kurafi?	do kurafi?
neutral	tbd	tbd	Elder	Pantomime	Noah passed through the train station and saw this person pantomiming.	pantomime?	pantomime?	pantomime?
neutral	tbd	tbd	Yooley	workBike	Noah had breakfast in the office cafeteria and saw this person arriving at work by bike.	bike to work?	bike to work?	bike to work?
neutral	tbd	tbd	Kurk	drinkWine	Noah went to the local pub and saw this person drinking a glass of wine.	drink wine?	drink wine?	drink wine?
neutral	tbd	tbd	Aserad	runCars	Noah took the bus to the city centre and saw this person running alongside cars.	run alongside cars?	run alongside cars?	run alongside cars?
neutral	tbd	tbd	Ozmendir	eatingBroccoli	Noah passed in front of the post office and saw this person eating raw broccoli for lunch.	eat raw broccoli?	eat raw broccoli?	eat raw broccoli?
neutral	tbd	tbd	Slesa	walkingCat	Noah was waiting for a taxi and saw this person walking their pet cat on the street.	walk their pet cats on the street?	walk their pet cats on the street?	walk pet cats on the street?
neutral	tbd	tbd	Qrosa	dressedMascot	Noah was at a theme park and saw this person dressed as a mascot.	dress as a mascot?	dress as a mascot?	dress as a mascot?
neutral	tbd	tbd	Pirsea	pickingNose	Noah was at the footwear shop and saw this person picking their nose.	pick their nose?	pick their nose?	pick your nose?
neutral	tbd	tbd	Phando	barefootPark	Noah was sitting on a bench and saw this person walk barefoot on the street.	walk barefoot on the street?	walk barefoot on the street?	walk barefoot on the street?
