subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"2",Chrome,115.0.0.0,1280,720,Windows,en-US,2023-08-16_14:01:01,2023-08-16_16:01:01,2023-08-15_14:13:36,efe54626b614cd4faa4ca4b064722022661ac36d,TYTTKD-02,https://www.testable.org/experiment/2286/159771/start?participant=M048842&batch_id=TYTTKD-02,"45",man,"day : 13; ",1809.252

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",204716,"2",6416,""
"225",nsg:2,"37",form,"","",<h1>Noah in Sephy</h1>,"","","","1","1","","","",radio,How likely are people in Sephy to <b>cycle past red lights?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Sephy,"1","1",passLight,shoutDriver,Gossiping,experiment,passLight,highTypeFreq,"day : 13; ",380209,Somewhat_Not really_Not really,103460,3_2_2
"389",nsg:2,"64",form,"","",<h1>Noah in Everfell</h1>,"","","","1","1","","","",radio,How likely are people in Everfell to <b>pillage corn from a field?</b>;Would <i><b>people in Everfell</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Everfell,"4","3",packageTheft,avoidFare,pillageCorn,experiment,pillageCorn,single,"day : 13; ",883102,Somewhat_Somewhat_Not really,9196,3_3_2
"309",nsg:2,"51",form,"","",<h1>Noah in Bruff</h1>,"","","","1","1","","","",radio,How likely are people in Bruff to <b>punch police officers?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Bruff,"3","2",punchOfficer,smokingMarijuana,skipQueue,experiment,punchOfficer,highTypeFreq,"day : 13; ",991290,Very Much so_Very Much so_Very Much so,37708,4_4_4
"310",nsg:2,"51",form,"","",<h1>Noah in Bruff</h1>,"","","","1","1","","","",radio,How likely are people in Bruff to <b>smoke marijuana?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Bruff,"3","2",punchOfficer,smokingMarijuana,skipQueue,experiment,smokingMarijuana,lowTypeFreq,"day : 13; ",1003916,Not really_Somewhat_Somewhat,12089,2_3_3
"311",nsg:2,"51",form,"","",<h1>Noah in Bruff</h1>,"","","","1","1","","","",radio,How likely are people in Bruff to <b>skip queues?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Bruff,"3","2",punchOfficer,smokingMarijuana,skipQueue,experiment,skipQueue,single,"day : 13; ",1021010,Somewhat_Somewhat_Somewhat,16574,3_3_3
"231",nsg:2,"38",form,"","",<h1>Noah in Marjy</h1>,"","","","1","1","","","",radio,How likely are people in Marjy to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Marjy,"2","1",disabledParking,loudNoise,litterCanal,experiment,disabledParking,highTypeFreq,"day : 13; ",1139799,Not really_Not really_Not at all,48316,2_2_1
"232",nsg:2,"38",form,"","",<h1>Noah in Marjy</h1>,"","","","1","1","","","",radio,How likely are people in Marjy to <b>make loud noises at the library?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Marjy,"2","1",disabledParking,loudNoise,litterCanal,experiment,loudNoise,lowTypeFreq,"day : 13; ",1150540,Not really_Somewhat_Not really,10219,2_3_2
"233",nsg:2,"38",form,"","",<h1>Noah in Marjy</h1>,"","","","1","1","","","",radio,How likely are people in Marjy to <b>litter in canals?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Marjy,"2","1",disabledParking,loudNoise,litterCanal,experiment,litterCanal,single,"day : 13; ",1161776,Somewhat_Not really_Not really,10707,3_2_2
"315",nsg:2,"52",form,"","",<h1>Noah in Freezington</h1>,"","","","1","1","","","",radio,How likely are people in Freezington to <b>pillage corn from a field?</b>;Would <i><b>people in Freezington</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Freezington,"4","2",pillageCorn,packageTheft,avoidFare,experiment,pillageCorn,highTypeFreq,"day : 13; ",1243373,Very Much so_Very Much so_Somewhat,11141,4_4_3
"316",nsg:2,"52",form,"","",<h1>Noah in Freezington</h1>,"","","","1","1","","","",radio,How likely are people in Freezington to <b>steal packages from a doorstep?</b>;Would <i><b>people in Freezington</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Freezington,"4","2",pillageCorn,packageTheft,avoidFare,experiment,packageTheft,lowTypeFreq,"day : 13; ",1259493,Somewhat_Somewhat_Not really,15600,3_3_2
"317",nsg:2,"52",form,"","",<h1>Noah in Freezington</h1>,"","","","1","1","","","",radio,How likely are people in Freezington to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Freezington</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Freezington,"4","2",pillageCorn,packageTheft,avoidFare,experiment,avoidFare,single,"day : 13; ",1270731,Not really_Somewhat_Somewhat,10722,2_3_3
"369",nsg:2,"61",form,"","",<h1>Noah in Faylight</h1>,"","","","1","1","","","",radio,How likely are people in Faylight to <b>gossip badly?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Faylight,"1","3",Gossiping,passLight,shoutDriver,experiment,Gossiping,highTypeFreq,"day : 13; ",1351100,Very Much so_Very Much so_Not really,9893,4_4_2
"370",nsg:2,"61",form,"","",<h1>Noah in Faylight</h1>,"","","","1","1","","","",radio,How likely are people in Faylight to <b>cycle past red lights?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Faylight,"1","3",Gossiping,passLight,shoutDriver,experiment,passLight,lowTypeFreq,"day : 13; ",1359750,Very Much so_Very Much so_Not really,8139,4_4_2
"371",nsg:2,"61",form,"","",<h1>Noah in Faylight</h1>,"","","","1","1","","","",radio,How likely are people in Faylight to <b>shout at other drivers?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Faylight,"1","3",Gossiping,passLight,shoutDriver,experiment,shoutDriver,single,"day : 13; ",1371352,Not really_Somewhat_Not at all,11085,2_3_1
"297",nsg:2,"49",form,"","",<h1>Noah in Glistinir</h1>,"","","","1","1","","","",radio,How likely are people in Glistinir to <b>shout at other drivers?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Glistinir,"1","2",shoutDriver,Gossiping,passLight,experiment,shoutDriver,highTypeFreq,"day : 13; ",1454043,Very Much so_Very Much so_Not at all,12218,4_4_1
"298",nsg:2,"49",form,"","",<h1>Noah in Glistinir</h1>,"","","","1","1","","","",radio,How likely are people in Glistinir to <b>gossip badly?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Glistinir,"1","2",shoutDriver,Gossiping,passLight,experiment,Gossiping,lowTypeFreq,"day : 13; ",1462420,Not really_Somewhat_Not at all,7845,2_3_1
"299",nsg:2,"49",form,"","",<h1>Noah in Glistinir</h1>,"","","","1","1","","","",radio,How likely are people in Glistinir to <b>cycle past red lights?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Glistinir,"1","2",shoutDriver,Gossiping,passLight,experiment,passLight,single,"day : 13; ",1469122,Somewhat_Somewhat_Not really,6191,3_3_2
"375",nsg:2,"62",form,"","",<h1>Noah in Zlefwood</h1>,"","","","1","1","","","",radio,How likely are people in Zlefwood to <b>litter in canals?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Zlefwood,"2","3",litterCanal,disabledParking,loudNoise,experiment,litterCanal,highTypeFreq,"day : 13; ",1557073,Somewhat_Somewhat_Somewhat,17473,3_3_3
"376",nsg:2,"62",form,"","",<h1>Noah in Zlefwood</h1>,"","","","1","1","","","",radio,How likely are people in Zlefwood to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Zlefwood,"2","3",litterCanal,disabledParking,loudNoise,experiment,disabledParking,lowTypeFreq,"day : 13; ",1566492,Somewhat_Somewhat_Not really,8893,3_3_2
"377",nsg:2,"62",form,"","",<h1>Noah in Zlefwood</h1>,"","","","1","1","","","",radio,How likely are people in Zlefwood to <b>make loud noises at the library?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Zlefwood,"2","3",litterCanal,disabledParking,loudNoise,experiment,loudNoise,single,"day : 13; ",1576769,Not really_Somewhat_Not really,9746,2_3_2
"237",nsg:2,"39",form,"","",<h1>Noah in Quai</h1>,"","","","1","1","","","",radio,How likely are people in Quai to <b>skip queues?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Quai,"3","1",skipQueue,punchOfficer,smokingMarijuana,experiment,skipQueue,highTypeFreq,"day : 13; ",1656319,Very Much so_Very Much so_Not really,9080,4_4_2
"238",nsg:2,"39",form,"","",<h1>Noah in Quai</h1>,"","","","1","1","","","",radio,How likely are people in Quai to <b>punch police officers?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Quai,"3","1",skipQueue,punchOfficer,smokingMarijuana,experiment,punchOfficer,lowTypeFreq,"day : 13; ",1670693,Not really_Somewhat_Somewhat,13855,2_3_3
"239",nsg:2,"39",form,"","",<h1>Noah in Quai</h1>,"","","","1","1","","","",radio,How likely are people in Quai to <b>smoke marijuana?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Quai,"3","1",skipQueue,punchOfficer,smokingMarijuana,experiment,smokingMarijuana,single,"day : 13; ",1692115,Not really_Somewhat_Somewhat,20911,2_3_3
"381",nsg:2,"63",form,"","",<h1>Noah in Cluakpus</h1>,"","","","1","1","","","",radio,How likely are people in Cluakpus to <b>smoke marijuana?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Cluakpus,"3","3",smokingMarijuana,skipQueue,punchOfficer,experiment,smokingMarijuana,highTypeFreq,"day : 13; ",1770722,Very Much so_Very Much so_Somewhat,8125,4_4_3
"382",nsg:2,"63",form,"","",<h1>Noah in Cluakpus</h1>,"","","","1","1","","","",radio,How likely are people in Cluakpus to <b>skip queues?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Cluakpus,"3","3",smokingMarijuana,skipQueue,punchOfficer,experiment,skipQueue,lowTypeFreq,"day : 13; ",1787292,Somewhat_Somewhat_Not really,16046,3_3_2
"383",nsg:2,"63",form,"","",<h1>Noah in Cluakpus</h1>,"","","","1","1","","","",radio,How likely are people in Cluakpus to <b>punch police officers?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Cluakpus,"3","3",smokingMarijuana,skipQueue,punchOfficer,experiment,punchOfficer,single,"day : 13; ",1798530,Not really_Somewhat_Somewhat,10722,2_3_3
