subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"2",Chrome,115.0.0.0,1366,768,Windows,pl-PL,2023-08-16_11:22:03,2023-08-16_13:22:03,2023-08-15_14:13:36,8ec6e1f436c02d2b864cd5f3aed529773101714c,TYTTKD-01,https://www.testable.org/experiment/2286/159771/start?participant=M274673&batch_id=TYTTKD-01,"25",woman,"day : 13; ",1668.358

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",247263,"2",4244,""
"309",nsg:2,"51",form,"","",<h1>Noah in Bruff</h1>,"","","","1","1","","","",radio,How likely are people in Bruff to <b>punch police officers?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Bruff,"3","2",punchOfficer,smokingMarijuana,skipQueue,experiment,punchOfficer,highTypeFreq,"day : 13; ",341484,Not really_Not at all_Not at all,21839,2_1_1
"383",nsg:2,"63",form,"","",<h1>Noah in Cluakpus</h1>,"","","","1","1","","","",radio,How likely are people in Cluakpus to <b>punch police officers?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Cluakpus,"3","3",smokingMarijuana,skipQueue,punchOfficer,experiment,punchOfficer,single,"day : 13; ",697847,Not really_Not really_Not at all,10146,2_2_1
"231",nsg:2,"38",form,"","",<h1>Noah in Marjy</h1>,"","","","1","1","","","",radio,How likely are people in Marjy to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Marjy,"2","1",disabledParking,loudNoise,litterCanal,experiment,disabledParking,highTypeFreq,"day : 13; ",790101,Very Much so_Somewhat_Not at all,21639,4_3_1
"232",nsg:2,"38",form,"","",<h1>Noah in Marjy</h1>,"","","","1","1","","","",radio,How likely are people in Marjy to <b>make loud noises at the library?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Marjy,"2","1",disabledParking,loudNoise,litterCanal,experiment,loudNoise,lowTypeFreq,"day : 13; ",799507,Not really_Not really_Not at all,8810,2_2_1
"233",nsg:2,"38",form,"","",<h1>Noah in Marjy</h1>,"","","","1","1","","","",radio,How likely are people in Marjy to <b>litter in canals?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Marjy,"2","1",disabledParking,loudNoise,litterCanal,experiment,litterCanal,single,"day : 13; ",808169,Not at all_Not at all_Not at all,8064,1_1_1
"225",nsg:2,"37",form,"","",<h1>Noah in Sephy</h1>,"","","","1","1","","","",radio,How likely are people in Sephy to <b>cycle past red lights?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Sephy,"1","1",passLight,shoutDriver,Gossiping,experiment,passLight,highTypeFreq,"day : 13; ",898503,Somewhat_Somewhat_Not at all,19757,3_3_1
"226",nsg:2,"37",form,"","",<h1>Noah in Sephy</h1>,"","","","1","1","","","",radio,How likely are people in Sephy to <b>shout at other drivers?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Sephy,"1","1",passLight,shoutDriver,Gossiping,experiment,shoutDriver,lowTypeFreq,"day : 13; ",909555,Not really_Not really_Not at all,10469,2_2_1
"227",nsg:2,"37",form,"","",<h1>Noah in Sephy</h1>,"","","","1","1","","","",radio,How likely are people in Sephy to <b>gossip badly?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Sephy,"1","1",passLight,shoutDriver,Gossiping,experiment,Gossiping,single,"day : 13; ",916037,Not really_Not really_Not at all,5895,2_2_1
"237",nsg:2,"39",form,"","",<h1>Noah in Quai</h1>,"","","","1","1","","","",radio,How likely are people in Quai to <b>skip queues?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Quai,"3","1",skipQueue,punchOfficer,smokingMarijuana,experiment,skipQueue,highTypeFreq,"day : 13; ",1011267,Not really_Not really_Not really,24645,2_2_2
"238",nsg:2,"39",form,"","",<h1>Noah in Quai</h1>,"","","","1","1","","","",radio,How likely are people in Quai to <b>punch police officers?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Quai,"3","1",skipQueue,punchOfficer,smokingMarijuana,experiment,punchOfficer,lowTypeFreq,"day : 13; ",1030255,Not really_Not really_Not really,18395,2_2_2
"239",nsg:2,"39",form,"","",<h1>Noah in Quai</h1>,"","","","1","1","","","",radio,How likely are people in Quai to <b>smoke marijuana?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Quai,"3","1",skipQueue,punchOfficer,smokingMarijuana,experiment,smokingMarijuana,single,"day : 13; ",1051179,Not really_Not really_Not really,20325,2_2_2
"369",nsg:2,"61",form,"","",<h1>Noah in Faylight</h1>,"","","","1","1","","","",radio,How likely are people in Faylight to <b>gossip badly?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Faylight,"1","3",Gossiping,passLight,shoutDriver,experiment,Gossiping,highTypeFreq,"day : 13; ",1140169,Somewhat_Not really_Not at all,12781,3_2_1
"370",nsg:2,"61",form,"","",<h1>Noah in Faylight</h1>,"","","","1","1","","","",radio,How likely are people in Faylight to <b>cycle past red lights?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Faylight,"1","3",Gossiping,passLight,shoutDriver,experiment,passLight,lowTypeFreq,"day : 13; ",1154037,Somewhat_Not really_Not at all,13281,3_2_1
"371",nsg:2,"61",form,"","",<h1>Noah in Faylight</h1>,"","","","1","1","","","",radio,How likely are people in Faylight to <b>shout at other drivers?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Faylight,"1","3",Gossiping,passLight,shoutDriver,experiment,shoutDriver,single,"day : 13; ",1164591,Somewhat_Somewhat_Not at all,9964,3_3_1
"243",nsg:2,"40",form,"","",<h1>Noah in Newdale</h1>,"","","","1","1","","","",radio,How likely are people in Newdale to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Newdale,"4","1",avoidFare,pillageCorn,packageTheft,experiment,avoidFare,highTypeFreq,"day : 13; ",1247675,Somewhat_Somewhat_Not at all,12514,3_3_1
"244",nsg:2,"40",form,"","",<h1>Noah in Newdale</h1>,"","","","1","1","","","",radio,How likely are people in Newdale to <b>pillage corn from a field?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Newdale,"4","1",avoidFare,pillageCorn,packageTheft,experiment,pillageCorn,lowTypeFreq,"day : 13; ",1279029,Somewhat_Somewhat_Not really,30792,3_3_2
"245",nsg:2,"40",form,"","",<h1>Noah in Newdale</h1>,"","","","1","1","","","",radio,How likely are people in Newdale to <b>steal packages from a doorstep?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Newdale,"4","1",avoidFare,pillageCorn,packageTheft,experiment,packageTheft,single,"day : 13; ",1287923,Not really_Not really_Not at all,8315,2_2_1
"303",nsg:2,"50",form,"","",<h1>Noah in Lakebrook</h1>,"","","","1","1","","","",radio,How likely are people in Lakebrook to <b>make loud noises at the library?</b>;Would <i><b>people in Lakebrook</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Lakebrook,"2","2",loudNoise,litterCanal,disabledParking,experiment,loudNoise,highTypeFreq,"day : 13; ",1387081,Somewhat_Somewhat_Not at all,28585,3_3_1
"304",nsg:2,"50",form,"","",<h1>Noah in Lakebrook</h1>,"","","","1","1","","","",radio,How likely are people in Lakebrook to <b>litter in canals?</b>;Would <i><b>people in Lakebrook</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Lakebrook,"2","2",loudNoise,litterCanal,disabledParking,experiment,litterCanal,lowTypeFreq,"day : 13; ",1396112,Somewhat_Somewhat_Not at all,8454,3_3_1
"305",nsg:2,"50",form,"","",<h1>Noah in Lakebrook</h1>,"","","","1","1","","","",radio,How likely are people in Lakebrook to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Lakebrook</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Lakebrook,"2","2",loudNoise,litterCanal,disabledParking,experiment,disabledParking,single,"day : 13; ",1403417,Somewhat_Not really_Not at all,6731,3_2_1
"375",nsg:2,"62",form,"","",<h1>Noah in Zlefwood</h1>,"","","","1","1","","","",radio,How likely are people in Zlefwood to <b>litter in canals?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Zlefwood,"2","3",litterCanal,disabledParking,loudNoise,experiment,litterCanal,highTypeFreq,"day : 13; ",1489499,Somewhat_Not at all_Not at all,15493,3_1_1
"376",nsg:2,"62",form,"","",<h1>Noah in Zlefwood</h1>,"","","","1","1","","","",radio,How likely are people in Zlefwood to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Zlefwood,"2","3",litterCanal,disabledParking,loudNoise,experiment,disabledParking,lowTypeFreq,"day : 13; ",1499997,Somewhat_Not really_Not at all,9927,3_2_1
"377",nsg:2,"62",form,"","",<h1>Noah in Zlefwood</h1>,"","","","1","1","","","",radio,How likely are people in Zlefwood to <b>make loud noises at the library?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Zlefwood,"2","3",litterCanal,disabledParking,loudNoise,experiment,loudNoise,single,"day : 13; ",1506895,Somewhat_Somewhat_Not at all,6299,3_3_1
"315",nsg:2,"52",form,"","",<h1>Noah in Freezington</h1>,"","","","1","1","","","",radio,How likely are people in Freezington to <b>pillage corn from a field?</b>;Would <i><b>people in Freezington</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Freezington,"4","2",pillageCorn,packageTheft,avoidFare,experiment,pillageCorn,highTypeFreq,"day : 13; ",1593289,Very Much so_Very Much so_Not really,15821,4_4_2
"316",nsg:2,"52",form,"","",<h1>Noah in Freezington</h1>,"","","","1","1","","","",radio,How likely are people in Freezington to <b>steal packages from a doorstep?</b>;Would <i><b>people in Freezington</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Freezington,"4","2",pillageCorn,packageTheft,avoidFare,experiment,packageTheft,lowTypeFreq,"day : 13; ",1602073,Somewhat_Not really_Not at all,8206,3_2_1
"317",nsg:2,"52",form,"","",<h1>Noah in Freezington</h1>,"","","","1","1","","","",radio,How likely are people in Freezington to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Freezington</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Freezington,"4","2",pillageCorn,packageTheft,avoidFare,experiment,avoidFare,single,"day : 13; ",1635507,Somewhat_Somewhat_Not really,32851,3_3_2
