subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"3",Chrome,115.0.0.0,1366,768,Windows,en-GB,2023-08-16_14:02:03,2023-08-16_17:02:03,2023-08-15_14:13:36,dec431eccfc7127f7b5814454d6908b141a388a9,TYTTKD-02,https://www.testable.org/experiment/2286/159771/start?participant=M451263&batch_id=TYTTKD-02,"32",man,"day : 13; ",1814.655

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",164187,"2",3045,""
"117",nsg:3,"19",form,"","",<h1>Noah in Therntuthern</h1>,"","","","1","1","","","",radio,How likely are people in Therntuthern to <b>return wallets?</b>;Would <i><b>people in Therntuthern</b></i> consider it morally acceptable to <b>return wallets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>return wallets?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Therntuthern,"3","2",returnWallet,heavyGroceries,holdDoor,experiment,returnWallet,highTypeFreq,"day : 13; ",299040,Very Much so_Very Much so_Very Much so,62530,4_4_4
"112",nsg:3,"18",form,"","",<h1>Noah in Hifvine</h1>,"","","","1","1","","","",radio,How likely are people in Hifvine to <b>invite other families to share fruit?</b>;Would <i><b>people in Hifvine</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Hifvine,"2","2",trippedChild,shareFruit,buyCoffee,experiment,shareFruit,lowTypeFreq,"day : 13; ",1079814,Very Much so_Very Much so_Very Much so,14653,4_4_4
"113",nsg:3,"18",form,"","",<h1>Noah in Hifvine</h1>,"","","","1","1","","","",radio,How likely are people in Hifvine to <b>buy coffee for their colleagues?</b>;Would <i><b>people in Hifvine</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Hifvine,"2","2",trippedChild,shareFruit,buyCoffee,experiment,buyCoffee,single,"day : 13; ",1099275,Not really_Somewhat_Very Much so,18946,2_3_4
"45",nsg:3,"7",form,"","",<h1>Noah in Orkfield</h1>,"","","","1","1","","","",radio,How likely are people in Orkfield to <b>hold elevator doors for others?</b>;Would <i><b>people in Orkfield</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Orkfield,"3","1",holdDoor,returnWallet,heavyGroceries,experiment,holdDoor,highTypeFreq,"day : 13; ",1176356,Very Much so_Very Much so_Very Much so,6639,4_4_4
"46",nsg:3,"7",form,"","",<h1>Noah in Orkfield</h1>,"","","","1","1","","","",radio,How likely are people in Orkfield to <b>return wallets?</b>;Would <i><b>people in Orkfield</b></i> consider it morally acceptable to <b>return wallets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>return wallets?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Orkfield,"3","1",holdDoor,returnWallet,heavyGroceries,experiment,returnWallet,lowTypeFreq,"day : 13; ",1182335,Somewhat_Somewhat_Very Much so,5467,3_3_4
"47",nsg:3,"7",form,"","",<h1>Noah in Orkfield</h1>,"","","","1","1","","","",radio,How likely are people in Orkfield to <b>help elderly carry heavy groceries?</b>;Would <i><b>people in Orkfield</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Orkfield,"3","1",holdDoor,returnWallet,heavyGroceries,experiment,heavyGroceries,single,"day : 13; ",1189695,Not really_Not really_Very Much so,6847,2_2_4
"183",nsg:3,"30",form,"","",<h1>Noah in Tiare</h1>,"","","","1","1","","","",radio,How likely are people in Tiare to <b>invite other families to share fruit?</b>;Would <i><b>people in Tiare</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Tiare,"2","3",shareFruit,buyCoffee,trippedChild,experiment,shareFruit,highTypeFreq,"day : 13; ",1266040,Very Much so_Very Much so_Very Much so,5908,4_4_4
"184",nsg:3,"30",form,"","",<h1>Noah in Tiare</h1>,"","","","1","1","","","",radio,How likely are people in Tiare to <b>buy coffee for their colleagues?</b>;Would <i><b>people in Tiare</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Tiare,"2","3",shareFruit,buyCoffee,trippedChild,experiment,buyCoffee,lowTypeFreq,"day : 13; ",1273185,Somewhat_Somewhat_Somewhat,6629,3_3_3
"185",nsg:3,"30",form,"","",<h1>Noah in Tiare</h1>,"","","","1","1","","","",radio,How likely are people in Tiare to <b>block streets to allow children to cross them?</b>;Would <i><b>people in Tiare</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Tiare,"2","3",shareFruit,buyCoffee,trippedChild,experiment,trippedChild,single,"day : 13; ",1282597,Not really_Somewhat_Very Much so,8899,2_3_4
"123",nsg:3,"20",form,"","",<h1>Noah in Isondiff</h1>,"","","","1","1","","","",radio,How likely are people in Isondiff to <b>leave a generous tip to the server?</b>;Would <i><b>people in Isondiff</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Isondiff,"4","2",largeTip,lostDirections,helpElderly,experiment,largeTip,highTypeFreq,"day : 13; ",1365517,Very Much so_Very Much so_Very Much so,12477,4_4_4
"124",nsg:3,"20",form,"","",<h1>Noah in Isondiff</h1>,"","","","1","1","","","",radio,How likely are people in Isondiff to <b>give directions?</b>;Would <i><b>people in Isondiff</b></i> consider it morally acceptable to <b>give directions?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>give directions?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Isondiff,"4","2",largeTip,lostDirections,helpElderly,experiment,lostDirections,lowTypeFreq,"day : 13; ",1374241,Somewhat_Somewhat_Very Much so,8211,3_3_4
"125",nsg:3,"20",form,"","",<h1>Noah in Isondiff</h1>,"","","","1","1","","","",radio,How likely are people in Isondiff to <b>help the elderly cross a road?</b>;Would <i><b>people in Isondiff</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Isondiff,"4","2",largeTip,lostDirections,helpElderly,experiment,helpElderly,single,"day : 13; ",1389712,Not really_Not really_Very Much so,14959,2_2_4
"105",nsg:3,"17",form,"","",<h1>Noah in Styl</h1>,"","","","1","1","","","",radio,How likely are people in Styl to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Styl</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Styl,"1","2",offerSeat,saveBird,moneyCharity,experiment,offerSeat,highTypeFreq,"day : 13; ",1469882,Very Much so_Very Much so_Very Much so,9728,4_4_4
"106",nsg:3,"17",form,"","",<h1>Noah in Styl</h1>,"","","","1","1","","","",radio,How likely are people in Styl to <b>save baby birds?</b>;Would <i><b>people in Styl</b></i> consider it morally acceptable to <b>save baby birds?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>save baby birds?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Styl,"1","2",offerSeat,saveBird,moneyCharity,experiment,saveBird,lowTypeFreq,"day : 13; ",1479688,Somewhat_Somewhat_Very Much so,9290,3_3_4
"107",nsg:3,"17",form,"","",<h1>Noah in Styl</h1>,"","","","1","1","","","",radio,How likely are people in Styl to <b>donate to children's charities?</b>;Would <i><b>people in Styl</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Styl,"1","2",offerSeat,saveBird,moneyCharity,experiment,moneyCharity,single,"day : 13; ",1507291,Not at all_Not really_Somewhat,27088,1_2_3
"39",nsg:3,"6",form,"","",<h1>Noah in Pastel</h1>,"","","","1","1","","","",radio,How likely are people in Pastel to <b>buy coffee for their colleagues?</b>;Would <i><b>people in Pastel</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Pastel,"2","1",buyCoffee,trippedChild,shareFruit,experiment,buyCoffee,highTypeFreq,"day : 13; ",1592796,Somewhat_Somewhat_Very Much so,15074,3_3_4
"40",nsg:3,"6",form,"","",<h1>Noah in Pastel</h1>,"","","","1","1","","","",radio,How likely are people in Pastel to <b>block streets to allow children to cross them?</b>;Would <i><b>people in Pastel</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Pastel,"2","1",buyCoffee,trippedChild,shareFruit,experiment,trippedChild,lowTypeFreq,"day : 13; ",1599219,Somewhat_Somewhat_Very Much so,5905,3_3_4
"41",nsg:3,"6",form,"","",<h1>Noah in Pastel</h1>,"","","","1","1","","","",radio,How likely are people in Pastel to <b>invite other families to share fruit?</b>;Would <i><b>people in Pastel</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Pastel,"2","1",buyCoffee,trippedChild,shareFruit,experiment,shareFruit,single,"day : 13; ",1618956,Not at all_Not really_Very Much so,19225,1_2_4
"177",nsg:3,"29",form,"","",<h1>Noah in Vali</h1>,"","","","1","1","","","",radio,How likely are people in Vali to <b>save baby birds?</b>;Would <i><b>people in Vali</b></i> consider it morally acceptable to <b>save baby birds?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>save baby birds?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Vali,"1","3",saveBird,moneyCharity,offerSeat,experiment,saveBird,highTypeFreq,"day : 13; ",1694853,Somewhat_Somewhat_Very Much so,5457,3_3_4
"178",nsg:3,"29",form,"","",<h1>Noah in Vali</h1>,"","","","1","1","","","",radio,How likely are people in Vali to <b>donate to children's charities?</b>;Would <i><b>people in Vali</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Vali,"1","3",saveBird,moneyCharity,offerSeat,experiment,moneyCharity,lowTypeFreq,"day : 13; ",1702340,Very Much so_Very Much so_Very Much so,6974,4_4_4
"179",nsg:3,"29",form,"","",<h1>Noah in Vali</h1>,"","","","1","1","","","",radio,How likely are people in Vali to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Vali</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Vali,"1","3",saveBird,moneyCharity,offerSeat,experiment,offerSeat,single,"day : 13; ",1706435,Not really_Not really_Somewhat,3578,2_2_3
"33",nsg:3,"5",form,"","",<h1>Noah in Windon</h1>,"","","","1","1","","","",radio,How likely are people in Windon to <b>donate to children's charities?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Windon,"1","1",moneyCharity,offerSeat,saveBird,experiment,moneyCharity,highTypeFreq,"day : 13; ",1787057,Somewhat_Somewhat_Very Much so,10176,3_3_4
"34",nsg:3,"5",form,"","",<h1>Noah in Windon</h1>,"","","","1","1","","","",radio,How likely are people in Windon to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Windon,"1","1",moneyCharity,offerSeat,saveBird,experiment,offerSeat,lowTypeFreq,"day : 13; ",1794164,Very Much so_Very Much so_Very Much so,6594,4_4_4
"35",nsg:3,"5",form,"","",<h1>Noah in Windon</h1>,"","","","1","1","","","",radio,How likely are people in Windon to <b>save baby birds?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>save baby birds?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>save baby birds?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Windon,"1","1",moneyCharity,offerSeat,saveBird,experiment,saveBird,single,"day : 13; ",1804667,Not at all_Not really_Very Much so,9988,1_2_4
