subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"4",Chrome,115.0.0.0,1366,768,UNIX,en-US,2023-08-16_14:02:42,2023-08-16_10:02:42,2023-08-15_14:13:36,8361ac1dc9336a9da7d9135c03fbfc2bc394e1c2,TYTTKD-02,https://www.testable.org/experiment/2286/159771/start?participant=M056604&batch_id=TYTTKD-02,"34",man,"day : 13; ",1313.656

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",183368,"2",5356,""
"333",nsg:4,"55",form,"","",<h1>Noah in Therntuthern</h1>,"","","","1","1","","","",radio,How likely are people in Therntuthern to <b>return wallets?</b>;Would <i><b>people in Therntuthern</b></i> consider it morally acceptable to <b>return wallets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>return wallets?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,good,Therntuthern,"3","2",returnWallet,heavyGroceries,holdDoor,experiment,returnWallet,highTypeFreq,"day : 13; ",269880,Very Much so_Very Much so_Very Much so,14291,4_4_4
"323",nsg:4,"53",form,"","",<h1>Noah in Styl</h1>,"","","","1","1","","","",radio,How likely are people in Styl to <b>donate to children's charities?</b>;Would <i><b>people in Styl</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Styl,"1","2",offerSeat,saveBird,moneyCharity,experiment,moneyCharity,single,"day : 13; ",573405,Somewhat_Very Much so_Very Much so,6592,3_4_4
"249",nsg:4,"41",form,"","",<h1>Noah in Windon</h1>,"","","","1","1","","","",radio,How likely are people in Windon to <b>donate to children's charities?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Windon,"1","1",moneyCharity,offerSeat,saveBird,experiment,moneyCharity,highTypeFreq,"day : 13; ",648709,Very Much so_Very Much so_Very Much so,4796,4_4_4
"250",nsg:4,"41",form,"","",<h1>Noah in Windon</h1>,"","","","1","1","","","",radio,How likely are people in Windon to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Windon,"1","1",moneyCharity,offerSeat,saveBird,experiment,offerSeat,lowTypeFreq,"day : 13; ",658645,Very Much so_Very Much so_Very Much so,9410,4_4_4
"251",nsg:4,"41",form,"","",<h1>Noah in Windon</h1>,"","","","1","1","","","",radio,How likely are people in Windon to <b>save baby birds?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>save baby birds?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>save baby birds?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Windon,"1","1",moneyCharity,offerSeat,saveBird,experiment,saveBird,single,"day : 13; ",668861,Somewhat_Very Much so_Very Much so,9690,3_4_4
"339",nsg:4,"56",form,"","",<h1>Noah in Isondiff</h1>,"","","","1","1","","","",radio,How likely are people in Isondiff to <b>leave a generous tip to the server?</b>;Would <i><b>people in Isondiff</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,good,Isondiff,"4","2",largeTip,lostDirections,helpElderly,experiment,largeTip,highTypeFreq,"day : 13; ",747621,Very Much so_Very Much so_Very Much so,8265,4_4_4
"340",nsg:4,"56",form,"","",<h1>Noah in Isondiff</h1>,"","","","1","1","","","",radio,How likely are people in Isondiff to <b>give directions?</b>;Would <i><b>people in Isondiff</b></i> consider it morally acceptable to <b>give directions?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>give directions?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,good,Isondiff,"4","2",largeTip,lostDirections,helpElderly,experiment,lostDirections,lowTypeFreq,"day : 13; ",755316,Very Much so_Very Much so_Very Much so,7173,4_4_4
"341",nsg:4,"56",form,"","",<h1>Noah in Isondiff</h1>,"","","","1","1","","","",radio,How likely are people in Isondiff to <b>help the elderly cross a road?</b>;Would <i><b>people in Isondiff</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,good,Isondiff,"4","2",largeTip,lostDirections,helpElderly,experiment,helpElderly,single,"day : 13; ",764962,Very Much so_Very Much so_Very Much so,9117,4_4_4
"405",nsg:4,"67",form,"","",<h1>Noah in Clego</h1>,"","","","1","1","","","",radio,How likely are people in Clego to <b>help elderly carry heavy groceries?</b>;Would <i><b>people in Clego</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,good,Clego,"3","3",heavyGroceries,holdDoor,returnWallet,experiment,heavyGroceries,highTypeFreq,"day : 13; ",842693,Very Much so_Very Much so_Very Much so,7243,4_4_4
"406",nsg:4,"67",form,"","",<h1>Noah in Clego</h1>,"","","","1","1","","","",radio,How likely are people in Clego to <b>hold elevator doors for others?</b>;Would <i><b>people in Clego</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,good,Clego,"3","3",heavyGroceries,holdDoor,returnWallet,experiment,holdDoor,lowTypeFreq,"day : 13; ",847077,Very Much so_Very Much so_Very Much so,3851,4_4_4
"407",nsg:4,"67",form,"","",<h1>Noah in Clego</h1>,"","","","1","1","","","",radio,How likely are people in Clego to <b>return wallets?</b>;Would <i><b>people in Clego</b></i> consider it morally acceptable to <b>return wallets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>return wallets?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,good,Clego,"3","3",heavyGroceries,holdDoor,returnWallet,experiment,returnWallet,single,"day : 13; ",851805,Somewhat_Very Much so_Very Much so,4203,3_4_4
"255",nsg:4,"42",form,"","",<h1>Noah in Pastel</h1>,"","","","1","1","","","",radio,How likely are people in Pastel to <b>buy coffee for their colleagues?</b>;Would <i><b>people in Pastel</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Pastel,"2","1",buyCoffee,trippedChild,shareFruit,experiment,buyCoffee,highTypeFreq,"day : 13; ",929468,Very Much so_Very Much so_Very Much so,7164,4_4_4
"256",nsg:4,"42",form,"","",<h1>Noah in Pastel</h1>,"","","","1","1","","","",radio,How likely are people in Pastel to <b>block streets to allow children to cross them?</b>;Would <i><b>people in Pastel</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Pastel,"2","1",buyCoffee,trippedChild,shareFruit,experiment,trippedChild,lowTypeFreq,"day : 13; ",934453,Very Much so_Very Much so_Very Much so,4461,4_4_4
"257",nsg:4,"42",form,"","",<h1>Noah in Pastel</h1>,"","","","1","1","","","",radio,How likely are people in Pastel to <b>invite other families to share fruit?</b>;Would <i><b>people in Pastel</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Pastel,"2","1",buyCoffee,trippedChild,shareFruit,experiment,shareFruit,single,"day : 13; ",939453,Somewhat_Very Much so_Very Much so,4473,3_4_4
"399",nsg:4,"66",form,"","",<h1>Noah in Tiare</h1>,"","","","1","1","","","",radio,How likely are people in Tiare to <b>invite other families to share fruit?</b>;Would <i><b>people in Tiare</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Tiare,"2","3",shareFruit,buyCoffee,trippedChild,experiment,shareFruit,highTypeFreq,"day : 13; ",1014493,Very Much so_Very Much so_Very Much so,4540,4_4_4
"400",nsg:4,"66",form,"","",<h1>Noah in Tiare</h1>,"","","","1","1","","","",radio,How likely are people in Tiare to <b>buy coffee for their colleagues?</b>;Would <i><b>people in Tiare</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Tiare,"2","3",shareFruit,buyCoffee,trippedChild,experiment,buyCoffee,lowTypeFreq,"day : 13; ",1020157,Very Much so_Very Much so_Very Much so,5138,4_4_4
"401",nsg:4,"66",form,"","",<h1>Noah in Tiare</h1>,"","","","1","1","","","",radio,How likely are people in Tiare to <b>block streets to allow children to cross them?</b>;Would <i><b>people in Tiare</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Tiare,"2","3",shareFruit,buyCoffee,trippedChild,experiment,trippedChild,single,"day : 13; ",1025461,Somewhat_Very Much so_Very Much so,4778,3_4_4
"267",nsg:4,"44",form,"","",<h1>Noah in Gralens</h1>,"","","","1","1","","","",radio,How likely are people in Gralens to <b>help the elderly cross a road?</b>;Would <i><b>people in Gralens</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,good,Gralens,"4","1",helpElderly,largeTip,lostDirections,experiment,helpElderly,highTypeFreq,"day : 13; ",1110293,Not really_Somewhat_Very Much so,14339,2_3_4
"268",nsg:4,"44",form,"","",<h1>Noah in Gralens</h1>,"","","","1","1","","","",radio,How likely are people in Gralens to <b>leave a generous tip to the server?</b>;Would <i><b>people in Gralens</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,good,Gralens,"4","1",helpElderly,largeTip,lostDirections,experiment,largeTip,lowTypeFreq,"day : 13; ",1117021,Very Much so_Very Much so_Very Much so,6201,4_4_4
"269",nsg:4,"44",form,"","",<h1>Noah in Gralens</h1>,"","","","1","1","","","",radio,How likely are people in Gralens to <b>give directions?</b>;Would <i><b>people in Gralens</b></i> consider it morally acceptable to <b>give directions?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>give directions?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,good,Gralens,"4","1",helpElderly,largeTip,lostDirections,experiment,lostDirections,single,"day : 13; ",1122541,Very Much so_Very Much so_Very Much so,4995,4_4_4
"327",nsg:4,"54",form,"","",<h1>Noah in Hifvine</h1>,"","","","1","1","","","",radio,How likely are people in Hifvine to <b>block streets to allow children to cross them?</b>;Would <i><b>people in Hifvine</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Hifvine,"2","2",trippedChild,shareFruit,buyCoffee,experiment,trippedChild,highTypeFreq,"day : 13; ",1199853,Very Much so_Very Much so_Very Much so,6806,4_4_4
"328",nsg:4,"54",form,"","",<h1>Noah in Hifvine</h1>,"","","","1","1","","","",radio,How likely are people in Hifvine to <b>invite other families to share fruit?</b>;Would <i><b>people in Hifvine</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Hifvine,"2","2",trippedChild,shareFruit,buyCoffee,experiment,shareFruit,lowTypeFreq,"day : 13; ",1207333,Very Much so_Very Much so_Very Much so,6961,4_4_4
"329",nsg:4,"54",form,"","",<h1>Noah in Hifvine</h1>,"","","","1","1","","","",radio,How likely are people in Hifvine to <b>buy coffee for their colleagues?</b>;Would <i><b>people in Hifvine</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Hifvine,"2","2",trippedChild,shareFruit,buyCoffee,experiment,buyCoffee,single,"day : 13; ",1214581,Not really_Somewhat_Very Much so,6728,2_3_4
"393",nsg:4,"65",form,"","",<h1>Noah in Vali</h1>,"","","","1","1","","","",radio,How likely are people in Vali to <b>save baby birds?</b>;Would <i><b>people in Vali</b></i> consider it morally acceptable to <b>save baby birds?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>save baby birds?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Vali,"1","3",saveBird,moneyCharity,offerSeat,experiment,saveBird,highTypeFreq,"day : 13; ",1292029,Very Much so_Very Much so_Very Much so,6948,4_4_4
"394",nsg:4,"65",form,"","",<h1>Noah in Vali</h1>,"","","","1","1","","","",radio,How likely are people in Vali to <b>donate to children's charities?</b>;Would <i><b>people in Vali</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Vali,"1","3",saveBird,moneyCharity,offerSeat,experiment,moneyCharity,lowTypeFreq,"day : 13; ",1299653,Somewhat_Very Much so_Very Much so,7098,3_4_4
"395",nsg:4,"65",form,"","",<h1>Noah in Vali</h1>,"","","","1","1","","","",radio,How likely are people in Vali to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Vali</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Vali,"1","3",saveBird,moneyCharity,offerSeat,experiment,offerSeat,single,"day : 13; ",1306917,Not really_Somewhat_Very Much so,6739,2_3_4
