subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"1",Chrome,115.0.0.0,1366,768,Windows,en-US,2023-08-16_14:04:46,2023-08-16_16:04:46,2023-08-15_14:13:36,ad474bbe38f4c98d775a57e4af7299faa393d690,TYTTKD-02,https://www.testable.org/experiment/2286/159771/start?participant=M756803&batch_id=TYTTKD-02,"21",woman,"day : 13; ",2464.195

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",304187,"2",8531,""
"21",nsg:1,"3",form,"","",<h1>Noah in Quai</h1>,"","","","1","1","","","",radio,How likely are people in Quai to <b>skip queues?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,bad,Quai,"3","1",skipQueue,punchOfficer,smokingMarijuana,experiment,skipQueue,highTypeFreq,"day : 13; ",397693,Very Much so_Not at all_Not at all,20868,4_1_1
"159",nsg:1,"26",form,"","",<h1>Noah in Zlefwood</h1>,"","","","1","1","","","",radio,How likely are people in Zlefwood to <b>litter in canals?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Zlefwood,"2","3",litterCanal,disabledParking,loudNoise,experiment,litterCanal,highTypeFreq,"day : 13; ",1393421,Very Much so_Not at all_Not at all,9119,4_1_1
"160",nsg:1,"26",form,"","",<h1>Noah in Zlefwood</h1>,"","","","1","1","","","",radio,How likely are people in Zlefwood to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Zlefwood,"2","3",litterCanal,disabledParking,loudNoise,experiment,disabledParking,lowTypeFreq,"day : 13; ",1400561,Somewhat_Not at all_Not at all,6579,3_1_1
"161",nsg:1,"26",form,"","",<h1>Noah in Zlefwood</h1>,"","","","1","1","","","",radio,How likely are people in Zlefwood to <b>make loud noises at the library?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Zlefwood,"2","3",litterCanal,disabledParking,loudNoise,experiment,loudNoise,single,"day : 13; ",1409842,Not really_Not at all_Not at all,8722,2_1_1
"171",nsg:1,"28",form,"","",<h1>Noah in Everfell</h1>,"","","","1","1","","","",radio,How likely are people in Everfell to <b>steal packages from a doorstep?</b>;Would <i><b>people in Everfell</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,bad,Everfell,"4","3",packageTheft,avoidFare,pillageCorn,experiment,packageTheft,highTypeFreq,"day : 13; ",1794590,Somewhat_Not at all_Not at all,314280,3_1_1
"172",nsg:1,"28",form,"","",<h1>Noah in Everfell</h1>,"","","","1","1","","","",radio,How likely are people in Everfell to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Everfell</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,bad,Everfell,"4","3",packageTheft,avoidFare,pillageCorn,experiment,avoidFare,lowTypeFreq,"day : 13; ",1802867,Very Much so_Not really_Not really,7714,4_2_2
"173",nsg:1,"28",form,"","",<h1>Noah in Everfell</h1>,"","","","1","1","","","",radio,How likely are people in Everfell to <b>pillage corn from a field?</b>;Would <i><b>people in Everfell</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,bad,Everfell,"4","3",packageTheft,avoidFare,pillageCorn,experiment,pillageCorn,single,"day : 13; ",1810410,Very Much so_Not at all_Not at all,6991,4_1_1
"9",nsg:1,"1",form,"","",<h1>Noah in Sephy</h1>,"","","","1","1","","","",radio,How likely are people in Sephy to <b>cycle past red lights?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Sephy,"1","1",passLight,shoutDriver,Gossiping,experiment,passLight,highTypeFreq,"day : 13; ",1888780,Somewhat_Not at all_Not at all,7892,3_1_1
"10",nsg:1,"1",form,"","",<h1>Noah in Sephy</h1>,"","","","1","1","","","",radio,How likely are people in Sephy to <b>shout at other drivers?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Sephy,"1","1",passLight,shoutDriver,Gossiping,experiment,shoutDriver,lowTypeFreq,"day : 13; ",1896646,Very Much so_Not at all_Not at all,7306,4_1_1
"11",nsg:1,"1",form,"","",<h1>Noah in Sephy</h1>,"","","","1","1","","","",radio,How likely are people in Sephy to <b>gossip badly?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Sephy,"1","1",passLight,shoutDriver,Gossiping,experiment,Gossiping,single,"day : 13; ",1906250,Not really_Not at all_Not at all,9066,2_1_1
"93",nsg:1,"15",form,"","",<h1>Noah in Bruff</h1>,"","","","1","1","","","",radio,How likely are people in Bruff to <b>punch police officers?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,bad,Bruff,"3","2",punchOfficer,smokingMarijuana,skipQueue,experiment,punchOfficer,highTypeFreq,"day : 13; ",2135398,Somewhat_Not at all_Not at all,158678,3_1_1
"94",nsg:1,"15",form,"","",<h1>Noah in Bruff</h1>,"","","","1","1","","","",radio,How likely are people in Bruff to <b>smoke marijuana?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,bad,Bruff,"3","2",punchOfficer,smokingMarijuana,skipQueue,experiment,smokingMarijuana,lowTypeFreq,"day : 13; ",2141581,Very Much so_Not at all_Not at all,5619,4_1_1
"95",nsg:1,"15",form,"","",<h1>Noah in Bruff</h1>,"","","","1","1","","","",radio,How likely are people in Bruff to <b>skip queues?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,bad,Bruff,"3","2",punchOfficer,smokingMarijuana,skipQueue,experiment,skipQueue,single,"day : 13; ",2147421,Somewhat_Not at all_Not at all,5280,3_1_1
"153",nsg:1,"25",form,"","",<h1>Noah in Faylight</h1>,"","","","1","1","","","",radio,How likely are people in Faylight to <b>gossip badly?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Faylight,"1","3",Gossiping,passLight,shoutDriver,experiment,Gossiping,highTypeFreq,"day : 13; ",2234194,Very Much so_Not at all_Not at all,16293,4_1_1
"154",nsg:1,"25",form,"","",<h1>Noah in Faylight</h1>,"","","","1","1","","","",radio,How likely are people in Faylight to <b>cycle past red lights?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Faylight,"1","3",Gossiping,passLight,shoutDriver,experiment,passLight,lowTypeFreq,"day : 13; ",2254581,Not really_Not really_Not really,19829,2_2_2
"155",nsg:1,"25",form,"","",<h1>Noah in Faylight</h1>,"","","","1","1","","","",radio,How likely are people in Faylight to <b>shout at other drivers?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Faylight,"1","3",Gossiping,passLight,shoutDriver,experiment,shoutDriver,single,"day : 13; ",2266079,Somewhat_Not at all_Not at all,10933,3_1_1
"15",nsg:1,"2",form,"","",<h1>Noah in Marjy</h1>,"","","","1","1","","","",radio,How likely are people in Marjy to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Marjy,"2","1",disabledParking,loudNoise,litterCanal,experiment,disabledParking,highTypeFreq,"day : 13; ",2344189,Very Much so_Not at all_Not at all,7639,4_1_1
"16",nsg:1,"2",form,"","",<h1>Noah in Marjy</h1>,"","","","1","1","","","",radio,How likely are people in Marjy to <b>make loud noises at the library?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Marjy,"2","1",disabledParking,loudNoise,litterCanal,experiment,loudNoise,lowTypeFreq,"day : 13; ",2351707,Very Much so_Not at all_Not at all,6954,4_1_1
"17",nsg:1,"2",form,"","",<h1>Noah in Marjy</h1>,"","","","1","1","","","",radio,How likely are people in Marjy to <b>litter in canals?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Marjy,"2","1",disabledParking,loudNoise,litterCanal,experiment,litterCanal,single,"day : 13; ",2358729,Not really_Not at all_Not at all,6462,2_1_1
"81",nsg:1,"13",form,"","",<h1>Noah in Glistinir</h1>,"","","","1","1","","","",radio,How likely are people in Glistinir to <b>shout at other drivers?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Glistinir,"1","2",shoutDriver,Gossiping,passLight,experiment,shoutDriver,highTypeFreq,"day : 13; ",2436296,Somewhat_Not at all_Not at all,7107,3_1_1
"82",nsg:1,"13",form,"","",<h1>Noah in Glistinir</h1>,"","","","1","1","","","",radio,How likely are people in Glistinir to <b>gossip badly?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Glistinir,"1","2",shoutDriver,Gossiping,passLight,experiment,Gossiping,lowTypeFreq,"day : 13; ",2445257,Somewhat_Not at all_Not at all,8402,3_1_1
"83",nsg:1,"13",form,"","",<h1>Noah in Glistinir</h1>,"","","","1","1","","","",radio,How likely are people in Glistinir to <b>cycle past red lights?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Glistinir,"1","2",shoutDriver,Gossiping,passLight,experiment,passLight,single,"day : 13; ",2455011,Very Much so_Not at all_Not at all,9184,4_1_1
