subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"6",Chrome,115.0.0.0,1366,768,Windows,en-GB,2023-08-16_14:28:00,2023-08-16_16:28:00,2023-08-15_14:13:36,81785a7943be8cf6ab5a7f3f12febd507ef99065,TYTTKD-02,https://www.testable.org/experiment/2286/159771/start?participant=M553477&batch_id=TYTTKD-02,"28",woman,"day : 13; ",1375.72

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",96069,"2",4077,""
"351",nsg:6,"58",form,"","",<h1>Noah in Elder</h1>,"","","","1","1","","","",radio,How likely are people in Elder to <b>pantomime?</b>;Would <i><b>people in Elder</b></i> consider it morally acceptable to <b>pantomime?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pantomime?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Elder,"2","2",Pantomime,workBike,dressedMascot,experiment,Pantomime,highTypeFreq,"day : 13; ",297286,Not really_Somewhat_Somewhat,128098,2_3_3
"435",nsg:6,"72",form,"","",<h1>Noah in Qrita</h1>,"","","","1","1","","","",radio,How likely are people in Qrita to <b>wear sunglasses?</b>;Would <i><b>people in Qrita</b></i> consider it morally acceptable to <b>wear sunglasses?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear sunglasses?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Qrita,"4","3",wearSunglasses,pickingNose,walkSwimsuit,experiment,wearSunglasses,highTypeFreq,"day : 13; ",999352,Very Much so_Very Much so_Very Much so,5586,4_4_4
"436",nsg:6,"72",form,"","",<h1>Noah in Qrita</h1>,"","","","1","1","","","",radio,How likely are people in Qrita to <b>pick their nose?</b>;Would <i><b>people in Qrita</b></i> consider it morally acceptable to <b>pick their nose?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pick your nose?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Qrita,"4","3",wearSunglasses,pickingNose,walkSwimsuit,experiment,pickingNose,lowTypeFreq,"day : 13; ",1004727,Not at all_Not at all_Not at all,4854,1_1_1
"437",nsg:6,"72",form,"","",<h1>Noah in Qrita</h1>,"","","","1","1","","","",radio,How likely are people in Qrita to <b>wear swimsuits on the streets?</b>;Would <i><b>people in Qrita</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Qrita,"4","3",wearSunglasses,pickingNose,walkSwimsuit,experiment,walkSwimsuit,single,"day : 13; ",1015999,Not at all_Not really_Not really,10741,1_2_2
"345",nsg:6,"57",form,"","",<h1>Noah in Slesa</h1>,"","","","1","1","","","",radio,How likely are people in Slesa to <b>walk their pet cats on the street?</b>;Would <i><b>people in Slesa</b></i> consider it morally acceptable to <b>walk their pet cats on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk pet cats on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Slesa,"1","2",walkingCat,runCars,doingAcrobatics,experiment,walkingCat,highTypeFreq,"day : 13; ",1092664,Very Much so_Very Much so_Very Much so,6187,4_4_4
"346",nsg:6,"57",form,"","",<h1>Noah in Slesa</h1>,"","","","1","1","","","",radio,How likely are people in Slesa to <b>run alongside cars?</b>;Would <i><b>people in Slesa</b></i> consider it morally acceptable to <b>run alongside cars?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>run alongside cars?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Slesa,"1","2",walkingCat,runCars,doingAcrobatics,experiment,runCars,lowTypeFreq,"day : 13; ",1099363,Not really_Not really_Not really,6175,2_2_2
"347",nsg:6,"57",form,"","",<h1>Noah in Slesa</h1>,"","","","1","1","","","",radio,How likely are people in Slesa to <b>do kurafi?</b>;Would <i><b>people in Slesa</b></i> consider it morally acceptable to <b>do kurafi?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>do kurafi?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Slesa,"1","2",walkingCat,runCars,doingAcrobatics,experiment,doingAcrobatics,single,"day : 13; ",1112160,Not really_Very Much so_Very Much so,12279,2_4_4
"363",nsg:6,"60",form,"","",<h1>Noah in Krark</h1>,"","","","1","1","","","",radio,How likely are people in Krark to <b>wear swimsuits on the streets?</b>;Would <i><b>people in Krark</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Krark,"4","2",walkSwimsuit,wearSunglasses,pickingNose,experiment,walkSwimsuit,highTypeFreq,"day : 13; ",1188160,Not at all_Not really_Not really,5501,1_2_2
"364",nsg:6,"60",form,"","",<h1>Noah in Krark</h1>,"","","","1","1","","","",radio,How likely are people in Krark to <b>wear sunglasses?</b>;Would <i><b>people in Krark</b></i> consider it morally acceptable to <b>wear sunglasses?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear sunglasses?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Krark,"4","2",walkSwimsuit,wearSunglasses,pickingNose,experiment,wearSunglasses,lowTypeFreq,"day : 13; ",1192669,Very Much so_Very Much so_Very Much so,3988,4_4_4
"365",nsg:6,"60",form,"","",<h1>Noah in Krark</h1>,"","","","1","1","","","",radio,How likely are people in Krark to <b>pick their nose?</b>;Would <i><b>people in Krark</b></i> consider it morally acceptable to <b>pick their nose?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pick your nose?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Krark,"4","2",walkSwimsuit,wearSunglasses,pickingNose,experiment,pickingNose,single,"day : 13; ",1198334,Not at all_Not at all_Not at all,5147,1_1_1
"423",nsg:6,"70",form,"","",<h1>Noah in Yooley</h1>,"","","","1","1","","","",radio,How likely are people in Yooley to <b>bike to work?</b>;Would <i><b>people in Yooley</b></i> consider it morally acceptable to <b>bike to work?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>bike to work?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Yooley,"2","3",workBike,dressedMascot,Pantomime,experiment,workBike,highTypeFreq,"day : 13; ",1274259,Very Much so_Very Much so_Very Much so,5436,4_4_4
"424",nsg:6,"70",form,"","",<h1>Noah in Yooley</h1>,"","","","1","1","","","",radio,How likely are people in Yooley to <b>dress as a mascot?</b>;Would <i><b>people in Yooley</b></i> consider it morally acceptable to <b>dress as a mascot?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>dress as a mascot?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Yooley,"2","3",workBike,dressedMascot,Pantomime,experiment,dressedMascot,lowTypeFreq,"day : 13; ",1279936,Not really_Somewhat_Somewhat,5156,2_3_3
"425",nsg:6,"70",form,"","",<h1>Noah in Yooley</h1>,"","","","1","1","","","",radio,How likely are people in Yooley to <b>pantomime?</b>;Would <i><b>people in Yooley</b></i> consider it morally acceptable to <b>pantomime?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pantomime?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Yooley,"2","3",workBike,dressedMascot,Pantomime,experiment,Pantomime,single,"day : 13; ",1284430,Not really_Somewhat_Somewhat,3973,2_3_3
"429",nsg:6,"71",form,"","",<h1>Noah in Kurk</h1>,"","","","1","1","","","",radio,How likely are people in Kurk to <b>drink wine?</b>;Would <i><b>people in Kurk</b></i> consider it morally acceptable to <b>drink wine?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>drink wine?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Kurk,"3","3",drinkWine,barefootPark,eatingBroccoli,experiment,drinkWine,highTypeFreq,"day : 13; ",1358714,Very Much so_Very Much so_Very Much so,3800,4_4_4
"430",nsg:6,"71",form,"","",<h1>Noah in Kurk</h1>,"","","","1","1","","","",radio,How likely are people in Kurk to <b>walk barefoot on the street?</b>;Would <i><b>people in Kurk</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Kurk,"3","3",drinkWine,barefootPark,eatingBroccoli,experiment,barefootPark,lowTypeFreq,"day : 13; ",1366020,Not at all_Not really_Not really,6783,1_2_2
"431",nsg:6,"71",form,"","",<h1>Noah in Kurk</h1>,"","","","1","1","","","",radio,How likely are people in Kurk to <b>eat raw broccoli?</b>;Would <i><b>people in Kurk</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Kurk,"3","3",drinkWine,barefootPark,eatingBroccoli,experiment,eatingBroccoli,single,"day : 13; ",1371130,Not at all_Not really_Not really,4590,1_2_2
