subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"5",Chrome,103.0.0.0,1366,768,UNIX,en-US,2023-08-16_11:21:06,2023-08-16_07:21:06,2023-08-15_14:13:36,1820268d83e5a83810633f4f01acbd345b6b82f9,TYTTKD-01,https://www.testable.org/experiment/2286/159771/start?participant=M097013&batch_id=TYTTKD-01,"45",woman,"day : 13; ",1325.558

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",105891,"2",2294,""
"213",nsg:5,"35",form,"","",<h1>Noah in Kurk</h1>,"","","","1","1","","","",radio,How likely are people in Kurk to <b>drink wine?</b>;Would <i><b>people in Kurk</b></i> consider it morally acceptable to <b>drink wine?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>drink wine?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,neutral,Kurk,"3","3",drinkWine,barefootPark,eatingBroccoli,experiment,drinkWine,highTypeFreq,"day : 13; ",194375,Very Much so_Very Much so_Very Much so,16465,4_4_4
"221",nsg:5,"36",form,"","",<h1>Noah in Qrita</h1>,"","","","1","1","","","",radio,How likely are people in Qrita to <b>wear swimsuits on the streets?</b>;Would <i><b>people in Qrita</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,neutral,Qrita,"4","3",wearSunglasses,pickingNose,walkSwimsuit,experiment,walkSwimsuit,single,"day : 13; ",844858,Not really_Somewhat_Very Much so,9331,2_3_4
"69",nsg:5,"11",form,"","",<h1>Noah in Phando</h1>,"","","","1","1","","","",radio,How likely are people in Phando to <b>walk barefoot on the street?</b>;Would <i><b>people in Phando</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,neutral,Phando,"3","1",barefootPark,eatingBroccoli,drinkWine,experiment,barefootPark,highTypeFreq,"day : 13; ",922888,Very Much so_Very Much so_Very Much so,7497,4_4_4
"70",nsg:5,"11",form,"","",<h1>Noah in Phando</h1>,"","","","1","1","","","",radio,How likely are people in Phando to <b>eat raw broccoli?</b>;Would <i><b>people in Phando</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,neutral,Phando,"3","1",barefootPark,eatingBroccoli,drinkWine,experiment,eatingBroccoli,lowTypeFreq,"day : 13; ",930542,Not really_Somewhat_Very Much so,7008,2_3_4
"71",nsg:5,"11",form,"","",<h1>Noah in Phando</h1>,"","","","1","1","","","",radio,How likely are people in Phando to <b>drink wine?</b>;Would <i><b>people in Phando</b></i> consider it morally acceptable to <b>drink wine?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>drink wine?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,neutral,Phando,"3","1",barefootPark,eatingBroccoli,drinkWine,experiment,drinkWine,single,"day : 13; ",940009,Not really_Somewhat_Very Much so,8815,2_3_4
"207",nsg:5,"34",form,"","",<h1>Noah in Yooley</h1>,"","","","1","1","","","",radio,How likely are people in Yooley to <b>bike to work?</b>;Would <i><b>people in Yooley</b></i> consider it morally acceptable to <b>bike to work?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>bike to work?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Yooley,"2","3",workBike,dressedMascot,Pantomime,experiment,workBike,highTypeFreq,"day : 13; ",1016682,Very Much so_Very Much so_Very Much so,5995,4_4_4
"208",nsg:5,"34",form,"","",<h1>Noah in Yooley</h1>,"","","","1","1","","","",radio,How likely are people in Yooley to <b>dress as a mascot?</b>;Would <i><b>people in Yooley</b></i> consider it morally acceptable to <b>dress as a mascot?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>dress as a mascot?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Yooley,"2","3",workBike,dressedMascot,Pantomime,experiment,dressedMascot,lowTypeFreq,"day : 13; ",1030482,Somewhat_Very Much so_Very Much so,13209,3_4_4
"209",nsg:5,"34",form,"","",<h1>Noah in Yooley</h1>,"","","","1","1","","","",radio,How likely are people in Yooley to <b>pantomime?</b>;Would <i><b>people in Yooley</b></i> consider it morally acceptable to <b>pantomime?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pantomime?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Yooley,"2","3",workBike,dressedMascot,Pantomime,experiment,Pantomime,single,"day : 13; ",1035791,Somewhat_Very Much so_Very Much so,4705,3_4_4
"63",nsg:5,"10",form,"","",<h1>Noah in Qrosa</h1>,"","","","1","1","","","",radio,How likely are people in Qrosa to <b>dress as a mascot?</b>;Would <i><b>people in Qrosa</b></i> consider it morally acceptable to <b>dress as a mascot?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>dress as a mascot?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Qrosa,"2","1",dressedMascot,Pantomime,workBike,experiment,dressedMascot,highTypeFreq,"day : 13; ",1125707,Very Much so_Very Much so_Very Much so,19325,4_4_4
"64",nsg:5,"10",form,"","",<h1>Noah in Qrosa</h1>,"","","","1","1","","","",radio,How likely are people in Qrosa to <b>pantomime?</b>;Would <i><b>people in Qrosa</b></i> consider it morally acceptable to <b>pantomime?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pantomime?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Qrosa,"2","1",dressedMascot,Pantomime,workBike,experiment,Pantomime,lowTypeFreq,"day : 13; ",1131194,Somewhat_Very Much so_Very Much so,4754,3_4_4
"65",nsg:5,"10",form,"","",<h1>Noah in Qrosa</h1>,"","","","1","1","","","",radio,How likely are people in Qrosa to <b>bike to work?</b>;Would <i><b>people in Qrosa</b></i> consider it morally acceptable to <b>bike to work?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>bike to work?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Qrosa,"2","1",dressedMascot,Pantomime,workBike,experiment,workBike,single,"day : 13; ",1136348,Not really_Somewhat_Very Much so,4574,2_3_4
"75",nsg:5,"12",form,"","",<h1>Noah in Pirsea</h1>,"","","","1","1","","","",radio,How likely are people in Pirsea to <b>pick their nose?</b>;Would <i><b>people in Pirsea</b></i> consider it morally acceptable to <b>pick their nose?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pick your nose?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,neutral,Pirsea,"4","1",pickingNose,walkSwimsuit,wearSunglasses,experiment,pickingNose,highTypeFreq,"day : 13; ",1214105,Very Much so_Very Much so_Very Much so,7234,4_4_4
"76",nsg:5,"12",form,"","",<h1>Noah in Pirsea</h1>,"","","","1","1","","","",radio,How likely are people in Pirsea to <b>wear swimsuits on the streets?</b>;Would <i><b>people in Pirsea</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,neutral,Pirsea,"4","1",pickingNose,walkSwimsuit,wearSunglasses,experiment,walkSwimsuit,lowTypeFreq,"day : 13; ",1222763,Not really_Somewhat_Very Much so,8040,2_3_4
"77",nsg:5,"12",form,"","",<h1>Noah in Pirsea</h1>,"","","","1","1","","","",radio,How likely are people in Pirsea to <b>wear sunglasses?</b>;Would <i><b>people in Pirsea</b></i> consider it morally acceptable to <b>wear sunglasses?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear sunglasses?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,neutral,Pirsea,"4","1",pickingNose,walkSwimsuit,wearSunglasses,experiment,wearSunglasses,single,"day : 13; ",1228951,Not really_Somewhat_Very Much so,5546,2_3_4
"57",nsg:5,"9",form,"","",<h1>Noah in Caco</h1>,"","","","1","1","","","",radio,How likely are people in Caco to <b>do kurafi?</b>;Would <i><b>people in Caco</b></i> consider it morally acceptable to <b>do kurafi?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>do kurafi?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Caco,"1","1",doingAcrobatics,walkingCat,runCars,experiment,doingAcrobatics,highTypeFreq,"day : 13; ",1305266,Very Much so_Very Much so_Very Much so,5681,4_4_4
"58",nsg:5,"9",form,"","",<h1>Noah in Caco</h1>,"","","","1","1","","","",radio,How likely are people in Caco to <b>walk their pet cats on the street?</b>;Would <i><b>people in Caco</b></i> consider it morally acceptable to <b>walk their pet cats on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk pet cats on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Caco,"1","1",doingAcrobatics,walkingCat,runCars,experiment,walkingCat,lowTypeFreq,"day : 13; ",1313371,Not really_Somewhat_Very Much so,7530,2_3_4
"59",nsg:5,"9",form,"","",<h1>Noah in Caco</h1>,"","","","1","1","","","",radio,How likely are people in Caco to <b>run alongside cars?</b>;Would <i><b>people in Caco</b></i> consider it morally acceptable to <b>run alongside cars?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>run alongside cars?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Caco,"1","1",doingAcrobatics,walkingCat,runCars,experiment,runCars,single,"day : 13; ",1319763,Not really_Somewhat_Somewhat,5795,2_3_3
