subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"3",Safari,"15.1",1440,900,MacOS,en-GB,2023-08-16_11:39:57,2023-08-16_12:39:57,2023-08-15_14:13:36,3926e7900f172d234ab225a3c27ca7af3a23bba2,TYTTKD-01,https://www.testable.org/experiment/2286/159771/start?participant=M669519&batch_id=TYTTKD-01,"48",woman,"day : 13; ",1209.456

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",54618,"2",2446,""
"195",nsg:3,"32",form,"","",<h1>Noah in Wrury</h1>,"","","","1","1","","","",radio,How likely are people in Wrury to <b>give directions?</b>;Would <i><b>people in Wrury</b></i> consider it morally acceptable to <b>give directions?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>give directions?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Wrury,"4","3",lostDirections,helpElderly,largeTip,experiment,lostDirections,highTypeFreq,"day : 13; ",138974,Very Much so_Very Much so_Very Much so,12510,4_4_4
"179",nsg:3,"29",form,"","",<h1>Noah in Vali</h1>,"","","","1","1","","","",radio,How likely are people in Vali to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Vali</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Vali,"1","3",saveBird,moneyCharity,offerSeat,experiment,offerSeat,single,"day : 13; ",473521,Not really_Not really_Very Much so,10348,2_2_4
"51",nsg:3,"8",form,"","",<h1>Noah in Gralens</h1>,"","","","1","1","","","",radio,How likely are people in Gralens to <b>help the elderly cross a road?</b>;Would <i><b>people in Gralens</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Gralens,"4","1",helpElderly,largeTip,lostDirections,experiment,helpElderly,highTypeFreq,"day : 13; ",549259,Very Much so_Very Much so_Very Much so,5240,4_4_4
"52",nsg:3,"8",form,"","",<h1>Noah in Gralens</h1>,"","","","1","1","","","",radio,How likely are people in Gralens to <b>leave a generous tip to the server?</b>;Would <i><b>people in Gralens</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Gralens,"4","1",helpElderly,largeTip,lostDirections,experiment,largeTip,lowTypeFreq,"day : 13; ",555374,Very Much so_Very Much so_Very Much so,5596,4_4_4
"53",nsg:3,"8",form,"","",<h1>Noah in Gralens</h1>,"","","","1","1","","","",radio,How likely are people in Gralens to <b>give directions?</b>;Would <i><b>people in Gralens</b></i> consider it morally acceptable to <b>give directions?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>give directions?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Gralens,"4","1",helpElderly,largeTip,lostDirections,experiment,lostDirections,single,"day : 13; ",563792,Not really_Not really_Very Much so,7897,2_2_4
"123",nsg:3,"20",form,"","",<h1>Noah in Isondiff</h1>,"","","","1","1","","","",radio,How likely are people in Isondiff to <b>leave a generous tip to the server?</b>;Would <i><b>people in Isondiff</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Isondiff,"4","2",largeTip,lostDirections,helpElderly,experiment,largeTip,highTypeFreq,"day : 13; ",639612,Very Much so_Very Much so_Very Much so,5324,4_4_4
"124",nsg:3,"20",form,"","",<h1>Noah in Isondiff</h1>,"","","","1","1","","","",radio,How likely are people in Isondiff to <b>give directions?</b>;Would <i><b>people in Isondiff</b></i> consider it morally acceptable to <b>give directions?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>give directions?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Isondiff,"4","2",largeTip,lostDirections,helpElderly,experiment,lostDirections,lowTypeFreq,"day : 13; ",648812,Very Much so_Very Much so_Very Much so,8678,4_4_4
"125",nsg:3,"20",form,"","",<h1>Noah in Isondiff</h1>,"","","","1","1","","","",radio,How likely are people in Isondiff to <b>help the elderly cross a road?</b>;Would <i><b>people in Isondiff</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Isondiff,"4","2",largeTip,lostDirections,helpElderly,experiment,helpElderly,single,"day : 13; ",656012,Somewhat_Somewhat_Very Much so,6681,3_3_4
"189",nsg:3,"31",form,"","",<h1>Noah in Clego</h1>,"","","","1","1","","","",radio,How likely are people in Clego to <b>help elderly carry heavy groceries?</b>;Would <i><b>people in Clego</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Clego,"3","3",heavyGroceries,holdDoor,returnWallet,experiment,heavyGroceries,highTypeFreq,"day : 13; ",731832,Very Much so_Very Much so_Very Much so,5305,4_4_4
"190",nsg:3,"31",form,"","",<h1>Noah in Clego</h1>,"","","","1","1","","","",radio,How likely are people in Clego to <b>hold elevator doors for others?</b>;Would <i><b>people in Clego</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Clego,"3","3",heavyGroceries,holdDoor,returnWallet,experiment,holdDoor,lowTypeFreq,"day : 13; ",736584,Very Much so_Very Much so_Very Much so,4231,4_4_4
"191",nsg:3,"31",form,"","",<h1>Noah in Clego</h1>,"","","","1","1","","","",radio,How likely are people in Clego to <b>return wallets?</b>;Would <i><b>people in Clego</b></i> consider it morally acceptable to <b>return wallets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>return wallets?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Clego,"3","3",heavyGroceries,holdDoor,returnWallet,experiment,returnWallet,single,"day : 13; ",748151,Not really_Somewhat_Very Much so,11045,2_3_4
"45",nsg:3,"7",form,"","",<h1>Noah in Orkfield</h1>,"","","","1","1","","","",radio,How likely are people in Orkfield to <b>hold elevator doors for others?</b>;Would <i><b>people in Orkfield</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Orkfield,"3","1",holdDoor,returnWallet,heavyGroceries,experiment,holdDoor,highTypeFreq,"day : 13; ",823588,Very Much so_Very Much so_Very Much so,4923,4_4_4
"46",nsg:3,"7",form,"","",<h1>Noah in Orkfield</h1>,"","","","1","1","","","",radio,How likely are people in Orkfield to <b>return wallets?</b>;Would <i><b>people in Orkfield</b></i> consider it morally acceptable to <b>return wallets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>return wallets?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Orkfield,"3","1",holdDoor,returnWallet,heavyGroceries,experiment,returnWallet,lowTypeFreq,"day : 13; ",831554,Very Much so_Very Much so_Very Much so,7444,4_4_4
"47",nsg:3,"7",form,"","",<h1>Noah in Orkfield</h1>,"","","","1","1","","","",radio,How likely are people in Orkfield to <b>help elderly carry heavy groceries?</b>;Would <i><b>people in Orkfield</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Orkfield,"3","1",holdDoor,returnWallet,heavyGroceries,experiment,heavyGroceries,single,"day : 13; ",838688,Somewhat_Somewhat_Very Much so,6613,3_3_4
"183",nsg:3,"30",form,"","",<h1>Noah in Tiare</h1>,"","","","1","1","","","",radio,How likely are people in Tiare to <b>invite other families to share fruit?</b>;Would <i><b>people in Tiare</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Tiare,"2","3",shareFruit,buyCoffee,trippedChild,experiment,shareFruit,highTypeFreq,"day : 13; ",918176,Very Much so_Very Much so_Very Much so,8973,4_4_4
"184",nsg:3,"30",form,"","",<h1>Noah in Tiare</h1>,"","","","1","1","","","",radio,How likely are people in Tiare to <b>buy coffee for their colleagues?</b>;Would <i><b>people in Tiare</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Tiare,"2","3",shareFruit,buyCoffee,trippedChild,experiment,buyCoffee,lowTypeFreq,"day : 13; ",926176,Very Much so_Very Much so_Very Much so,7480,4_4_4
"185",nsg:3,"30",form,"","",<h1>Noah in Tiare</h1>,"","","","1","1","","","",radio,How likely are people in Tiare to <b>block streets to allow children to cross them?</b>;Would <i><b>people in Tiare</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Tiare,"2","3",shareFruit,buyCoffee,trippedChild,experiment,trippedChild,single,"day : 13; ",933493,Not really_Not really_Very Much so,6798,2_2_4
"105",nsg:3,"17",form,"","",<h1>Noah in Styl</h1>,"","","","1","1","","","",radio,How likely are people in Styl to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Styl</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Styl,"1","2",offerSeat,saveBird,moneyCharity,experiment,offerSeat,highTypeFreq,"day : 13; ",1009647,Very Much so_Very Much so_Very Much so,5638,4_4_4
"106",nsg:3,"17",form,"","",<h1>Noah in Styl</h1>,"","","","1","1","","","",radio,How likely are people in Styl to <b>save baby birds?</b>;Would <i><b>people in Styl</b></i> consider it morally acceptable to <b>save baby birds?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>save baby birds?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Styl,"1","2",offerSeat,saveBird,moneyCharity,experiment,saveBird,lowTypeFreq,"day : 13; ",1020014,Very Much so_Very Much so_Very Much so,9847,4_4_4
"107",nsg:3,"17",form,"","",<h1>Noah in Styl</h1>,"","","","1","1","","","",radio,How likely are people in Styl to <b>donate to children's charities?</b>;Would <i><b>people in Styl</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Styl,"1","2",offerSeat,saveBird,moneyCharity,experiment,moneyCharity,single,"day : 13; ",1027398,Not really_Not really_Very Much so,6866,2_2_4
"33",nsg:3,"5",form,"","",<h1>Noah in Windon</h1>,"","","","1","1","","","",radio,How likely are people in Windon to <b>donate to children's charities?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Windon,"1","1",moneyCharity,offerSeat,saveBird,experiment,moneyCharity,highTypeFreq,"day : 13; ",1104435,Very Much so_Very Much so_Very Much so,6523,4_4_4
"34",nsg:3,"5",form,"","",<h1>Noah in Windon</h1>,"","","","1","1","","","",radio,How likely are people in Windon to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Windon,"1","1",moneyCharity,offerSeat,saveBird,experiment,offerSeat,lowTypeFreq,"day : 13; ",1108967,Very Much so_Very Much so_Very Much so,4010,4_4_4
"35",nsg:3,"5",form,"","",<h1>Noah in Windon</h1>,"","","","1","1","","","",radio,How likely are people in Windon to <b>save baby birds?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>save baby birds?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>save baby birds?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,good,Windon,"1","1",moneyCharity,offerSeat,saveBird,experiment,saveBird,single,"day : 13; ",1115502,Not really_Not really_Very Much so,6011,2_2_4
"117",nsg:3,"19",form,"","",<h1>Noah in Therntuthern</h1>,"","","","1","1","","","",radio,How likely are people in Therntuthern to <b>return wallets?</b>;Would <i><b>people in Therntuthern</b></i> consider it morally acceptable to <b>return wallets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>return wallets?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Therntuthern,"3","2",returnWallet,heavyGroceries,holdDoor,experiment,returnWallet,highTypeFreq,"day : 13; ",1193172,Very Much so_Very Much so_Very Much so,7156,4_4_4
"118",nsg:3,"19",form,"","",<h1>Noah in Therntuthern</h1>,"","","","1","1","","","",radio,How likely are people in Therntuthern to <b>help elderly carry heavy groceries?</b>;Would <i><b>people in Therntuthern</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Therntuthern,"3","2",returnWallet,heavyGroceries,holdDoor,experiment,heavyGroceries,lowTypeFreq,"day : 13; ",1198472,Very Much so_Very Much so_Very Much so,4778,4_4_4
"119",nsg:3,"19",form,"","",<h1>Noah in Therntuthern</h1>,"","","","1","1","","","",radio,How likely are people in Therntuthern to <b>hold elevator doors for others?</b>;Would <i><b>people in Therntuthern</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,good,Therntuthern,"3","2",returnWallet,heavyGroceries,holdDoor,experiment,holdDoor,single,"day : 13; ",1204223,Not really_Not really_Very Much so,5233,2_2_4
