subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,age,gender,tallies,duration_s
2,2022-12-23_12:11:27,2022-12-23_12:11:27,2022-12-21_12:02:10,https://www.testable.org/experiment/2286/994749/start?sona_id=af0740f9ffe7c2c11b42f4028beaa5c58bf57982,18,woman,"day : 13; ",1532.64
rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,body,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,mySD3subScale,mySD3itemID,mySD3reversed,tallies,timestamp,response,RT,responseCode
309,nsg:2,51,form,,,"<h1>Noah in Bruff</h1>",,,,,1,1,,,,radio,"How likely are people in Bruff to <b>punch police officers?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Bruff,3,2,punchOfficer,smokingMarijuana,skipQueue,experiment,punchOfficer,highTypeFreq,,,,"day : 13; ",503105,"Very Much so_Not really_Not at all",9674,4_2_1
310,nsg:2,51,form,,,"<h1>Noah in Bruff</h1>",,,,,1,1,,,,radio,"How likely are people in Bruff to <b>smoke marijuana?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Bruff,3,2,punchOfficer,smokingMarijuana,skipQueue,experiment,smokingMarijuana,lowTypeFreq,,,,"day : 13; ",516185,Somewhat_Somewhat_Somewhat,12530,3_3_3
311,nsg:2,51,form,,,"<h1>Noah in Bruff</h1>",,,,,1,1,,,,radio,"How likely are people in Bruff to <b>skip queues?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Bruff,3,2,punchOfficer,smokingMarijuana,skipQueue,experiment,skipQueue,single,,,,"day : 13; ",522330,"Not really_Not at all_Not at all",5586,2_1_1
315,nsg:2,52,form,,,"<h1>Noah in Freezington</h1>",,,,,1,1,,,,radio,"How likely are people in Freezington to <b>pillage corn from a field?</b>;Would <i><b>people in Freezington</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Freezington,4,2,pillageCorn,packageTheft,avoidFare,experiment,pillageCorn,highTypeFreq,,,,"day : 13; ",599143,"Somewhat_Not really_Not at all",6288,3_2_1
316,nsg:2,52,form,,,"<h1>Noah in Freezington</h1>",,,,,1,1,,,,radio,"How likely are people in Freezington to <b>steal packages from a doorstep?</b>;Would <i><b>people in Freezington</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Freezington,4,2,pillageCorn,packageTheft,avoidFare,experiment,packageTheft,lowTypeFreq,,,,"day : 13; ",607056,"Somewhat_Not really_Not at all",7382,3_2_1
317,nsg:2,52,form,,,"<h1>Noah in Freezington</h1>",,,,,1,1,,,,radio,"How likely are people in Freezington to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Freezington</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Freezington,4,2,pillageCorn,packageTheft,avoidFare,experiment,avoidFare,single,,,,"day : 13; ",612620,"Not really_Not at all_Not at all",5030,2_1_1
369,nsg:2,61,form,,,"<h1>Noah in Faylight</h1>",,,,,1,1,,,,radio,"How likely are people in Faylight to <b>gossip badly?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Faylight,1,3,Gossiping,passLight,shoutDriver,experiment,Gossiping,highTypeFreq,,,,"day : 13; ",690049,"Very Much so_Not really_Not at all",6879,4_2_1
370,nsg:2,61,form,,,"<h1>Noah in Faylight</h1>",,,,,1,1,,,,radio,"How likely are people in Faylight to <b>cycle past red lights?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Faylight,1,3,Gossiping,passLight,shoutDriver,experiment,passLight,lowTypeFreq,,,,"day : 13; ",699906,"Very Much so_Somewhat_Not at all",9301,4_3_1
371,nsg:2,61,form,,,"<h1>Noah in Faylight</h1>",,,,,1,1,,,,radio,"How likely are people in Faylight to <b>shout at other drivers?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Faylight,1,3,Gossiping,passLight,shoutDriver,experiment,shoutDriver,single,,,,"day : 13; ",724763,"Somewhat_Not really_Not really",24328,3_2_2
243,nsg:2,40,form,,,"<h1>Noah in Newdale</h1>",,,,,1,1,,,,radio,"How likely are people in Newdale to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Newdale,4,1,avoidFare,pillageCorn,packageTheft,experiment,avoidFare,highTypeFreq,,,,"day : 13; ",871108,"Very Much so_Somewhat_Not really",75805,4_3_2
244,nsg:2,40,form,,,"<h1>Noah in Newdale</h1>",,,,,1,1,,,,radio,"How likely are people in Newdale to <b>pillage corn from a field?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Newdale,4,1,avoidFare,pillageCorn,packageTheft,experiment,pillageCorn,lowTypeFreq,,,,"day : 13; ",876773,"Somewhat_Not at all_Not at all",5120,3_1_1
245,nsg:2,40,form,,,"<h1>Noah in Newdale</h1>",,,,,1,1,,,,radio,"How likely are people in Newdale to <b>steal packages from a doorstep?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Newdale,4,1,avoidFare,pillageCorn,packageTheft,experiment,packageTheft,single,,,,"day : 13; ",885777,"Not really_Not at all_Not at all",8466,2_1_1
381,nsg:2,63,form,,,"<h1>Noah in Cluakpus</h1>",,,,,1,1,,,,radio,"How likely are people in Cluakpus to <b>smoke marijuana?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Cluakpus,3,3,smokingMarijuana,skipQueue,punchOfficer,experiment,smokingMarijuana,highTypeFreq,,,,"day : 13; ",967169,"Very Much so_Very Much so_Somewhat",10861,4_4_3
382,nsg:2,63,form,,,"<h1>Noah in Cluakpus</h1>",,,,,1,1,,,,radio,"How likely are people in Cluakpus to <b>skip queues?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Cluakpus,3,3,smokingMarijuana,skipQueue,punchOfficer,experiment,skipQueue,lowTypeFreq,,,,"day : 13; ",974323,"Somewhat_Not really_Not at all",6602,3_2_1
383,nsg:2,63,form,,,"<h1>Noah in Cluakpus</h1>",,,,,1,1,,,,radio,"How likely are people in Cluakpus to <b>punch police officers?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Cluakpus,3,3,smokingMarijuana,skipQueue,punchOfficer,experiment,punchOfficer,single,,,,"day : 13; ",979469,"Not really_Not at all_Not at all",4621,2_1_1
231,nsg:2,38,form,,,"<h1>Noah in Marjy</h1>",,,,,1,1,,,,radio,"How likely are people in Marjy to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Marjy,2,1,disabledParking,loudNoise,litterCanal,experiment,disabledParking,highTypeFreq,,,,"day : 13; ",1087798,"Very Much so_Somewhat_Not at all",37816,4_3_1
232,nsg:2,38,form,,,"<h1>Noah in Marjy</h1>",,,,,1,1,,,,radio,"How likely are people in Marjy to <b>make loud noises at the library?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Marjy,2,1,disabledParking,loudNoise,litterCanal,experiment,loudNoise,lowTypeFreq,,,,"day : 13; ",1094414,"Somewhat_Not really_Not really",6069,3_2_2
233,nsg:2,38,form,,,"<h1>Noah in Marjy</h1>",,,,,1,1,,,,radio,"How likely are people in Marjy to <b>litter in canals?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Marjy,2,1,disabledParking,loudNoise,litterCanal,experiment,litterCanal,single,,,,"day : 13; ",1101923,"Not really_Not at all_Not at all",6956,2_1_1
297,nsg:2,49,form,,,"<h1>Noah in Glistinir</h1>",,,,,1,1,,,,radio,"How likely are people in Glistinir to <b>shout at other drivers?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Glistinir,1,2,shoutDriver,Gossiping,passLight,experiment,shoutDriver,highTypeFreq,,,,"day : 13; ",1207514,"Very Much so_Somewhat_Not at all",35047,4_3_1
298,nsg:2,49,form,,,"<h1>Noah in Glistinir</h1>",,,,,1,1,,,,radio,"How likely are people in Glistinir to <b>gossip badly?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Glistinir,1,2,shoutDriver,Gossiping,passLight,experiment,Gossiping,lowTypeFreq,,,,"day : 13; ",1214017,"Very Much so_Not really_Not at all",5981,4_2_1
299,nsg:2,49,form,,,"<h1>Noah in Glistinir</h1>",,,,,1,1,,,,radio,"How likely are people in Glistinir to <b>cycle past red lights?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Glistinir,1,2,shoutDriver,Gossiping,passLight,experiment,passLight,single,,,,"day : 13; ",1221056,"Not really_Not at all_Not at all",6512,2_1_1
225,nsg:2,37,form,,,"<h1>Noah in Sephy</h1>",,,,,1,1,,,,radio,"How likely are people in Sephy to <b>cycle past red lights?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Sephy,1,1,passLight,shoutDriver,Gossiping,experiment,passLight,highTypeFreq,,,,"day : 13; ",1302096,"Very Much so_Somewhat_Not at all",10509,4_3_1
226,nsg:2,37,form,,,"<h1>Noah in Sephy</h1>",,,,,1,1,,,,radio,"How likely are people in Sephy to <b>shout at other drivers?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Sephy,1,1,passLight,shoutDriver,Gossiping,experiment,shoutDriver,lowTypeFreq,,,,"day : 13; ",1307211,"Somewhat_Not really_Not at all",4570,3_2_1
227,nsg:2,37,form,,,"<h1>Noah in Sephy</h1>",,,,,1,1,,,,radio,"How likely are people in Sephy to <b>gossip badly?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Sephy,1,1,passLight,shoutDriver,Gossiping,experiment,Gossiping,single,,,,"day : 13; ",1316993,"Not really_Not at all_Not at all",9231,2_1_1
303,nsg:2,50,form,,,"<h1>Noah in Lakebrook</h1>",,,,,1,1,,,,radio,"How likely are people in Lakebrook to <b>make loud noises at the library?</b>;Would <i><b>people in Lakebrook</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Lakebrook,2,2,loudNoise,litterCanal,disabledParking,experiment,loudNoise,highTypeFreq,,,,"day : 13; ",1395731,"Very Much so_Somewhat_Not at all",8192,4_3_1
304,nsg:2,50,form,,,"<h1>Noah in Lakebrook</h1>",,,,,1,1,,,,radio,"How likely are people in Lakebrook to <b>litter in canals?</b>;Would <i><b>people in Lakebrook</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Lakebrook,2,2,loudNoise,litterCanal,disabledParking,experiment,litterCanal,lowTypeFreq,,,,"day : 13; ",1401836,"Somewhat_Not really_Not really",5582,3_2_2
305,nsg:2,50,form,,,"<h1>Noah in Lakebrook</h1>",,,,,1,1,,,,radio,"How likely are people in Lakebrook to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Lakebrook</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Lakebrook,2,2,loudNoise,litterCanal,disabledParking,experiment,disabledParking,single,,,,"day : 13; ",1406843,"Not really_Not at all_Not at all",4473,2_1_1
439,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">It's not wise to tell your secrets.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Machiavellianism,Machiavellianism1,FALSE,"day : 13; ",1413884,"Agree strongly",3711,5
440,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">I like to use clever manipulation to get my way.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Machiavellianism,Machiavellianism2,FALSE,"day : 13; ",1418041,Disagree,3635,2
441,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">Whatever it takes, you must get the important people on your side.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Machiavellianism,Machiavellianism3,FALSE,"day : 13; ",1422067,Disagree,3503,2
442,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">Avoid direct conflict with others because they may be useful in the future.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Machiavellianism,Machiavellianism4,FALSE,"day : 13; ",1427352,"Neither agree nor disagree",4759,3
443,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">It's wise to keep track of information that you can use against people later.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Machiavellianism,Machiavellianism5,FALSE,"day : 13; ",1431223,"Neither agree nor disagree",3354,3
444,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">You should wait for the right time to get back at people.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Machiavellianism,Machiavellianism6,FALSE,"day : 13; ",1434989,Agree,3243,4
445,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">There are things you should hide from other people to preserve your reputation.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Machiavellianism,Machiavellianism7,FALSE,"day : 13; ",1438839,"Agree strongly",3327,5
446,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">Make sure your plans benefit yourself, not others.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Machiavellianism,Machiavellianism8,FALSE,"day : 13; ",1442994,"Disagree strongly",3632,1
447,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">Most people can be manipulated.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Machiavellianism,Machiavellianism9,FALSE,"day : 13; ",1447050,Agree,3534,4
448,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">People see me as a natural leader.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Narcissism,Narcissism1,FALSE,"day : 13; ",1450930,Disagree,3357,2
449,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">I hate being the center of attention.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Narcissism,Narcissism2,TRUE,"day : 13; ",1453929,"Neither agree nor disagree",2484,3
450,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">Many group activities tend to be dull without me.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Narcissism,Narcissism3,FALSE,"day : 13; ",1458585,"Disagree strongly",4130,1
451,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">I know that I am special because everyone keeps telling me so.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Narcissism,Narcissism4,FALSE,"day : 13; ",1464066,"Disagree strongly",4965,1
452,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">I like to get acquainted with important people.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Narcissism,Narcissism5,FALSE,"day : 13; ",1468300,Disagree,3717,2
453,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">I feel embarrassed if someone compliments me.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Narcissism,Narcissism6,TRUE,"day : 13; ",1472022,Agree,3206,4
454,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">I have been compared to famous people.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Narcissism,Narcissism7,FALSE,"day : 13; ",1476405,"Disagree strongly",3860,1
455,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">I am an average person.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Narcissism,Narcissism8,TRUE,"day : 13; ",1480178,"Agree strongly",3246,5
456,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">I insist on getting the respect I deserve.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Narcissism,Narcissism9,FALSE,"day : 13; ",1483466,Agree,2766,4
457,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">I like to get revenge on authorities.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Psychopathy,Psychopathy1,FALSE,"day : 13; ",1486558,Disagree,2569,2
458,,,form,,,"How much do you agree with this statement?","<p style=""font-size:x-large"">I avoid dangerous situations.</p>",,,,1,1,,,,likert,,"Disagree strongly; Disagree; Neither agree nor disagree; Agree; Agree strongly",,,,,,,,,,SD3,,,Psychopathy,Psychopathy2,TRUE,"day : 13; ",1490301,"Agree strongly",3216,5
